"HomeTeam","AwayTeam","Date","Contest","Type","HomeGoals","AwayGoals","HomeAdvantage"
"Oman","Guam","03/24/16","World Cup","Qualifiers-Asia",1,0,1
"India","Turkmenistan","03/29/16","World Cup","Qualifiers-Asia",1,2,1
"Iran","Oman","03/29/16","World Cup","Qualifiers-Asia",2,0,1
"Cambodia","Singapore","06/11/15","World Cup","Qualifiers-Asia",0,4,1
"Afghanistan","Syria","06/11/15","World Cup","Qualifiers-Asia",0,6,1
"Japan","Singapore","06/16/15","World Cup","Qualifiers-Asia",0,0,1
"Cambodia","Afghanistan","06/16/15","World Cup","Qualifiers-Asia",0,1,1
"Japan","Cambodia","09/03/15","World Cup","Qualifiers-Asia",3,0,1
"Syria","Singapore","09/03/15","World Cup","Qualifiers-Asia",1,0,1
"Cambodia","Syria","09/08/15","World Cup","Qualifiers-Asia",0,6,1
"Afghanistan","Japan","09/08/15","World Cup","Qualifiers-Asia",0,6,1
"Singapore","Afghanistan","10/08/15","World Cup","Qualifiers-Asia",1,0,1
"Syria","Japan","10/08/15","World Cup","Qualifiers-Asia",0,3,1
"Singapore","Cambodia","10/13/15","World Cup","Qualifiers-Asia",2,1,1
"Syria","Afghanistan","10/13/15","World Cup","Qualifiers-Asia",5,2,1
"Singapore","Japan","11/12/15","World Cup","Qualifiers-Asia",0,3,1
"Afghanistan","Cambodia","11/12/15","World Cup","Qualifiers-Asia",3,0,1
"Singapore","Syria","11/17/15","World Cup","Qualifiers-Asia",1,2,1
"Cambodia","Japan","11/17/15","World Cup","Qualifiers-Asia",0,2,1
"Japan","Afghanistan","03/24/16","World Cup","Qualifiers-Asia",5,0,1
"Syria","Cambodia","03/24/16","World Cup","Qualifiers-Asia",6,0,1
"Afghanistan","Singapore","03/29/16","World Cup","Qualifiers-Asia",2,1,1
"Japan","Syria","03/29/16","World Cup","Qualifiers-Asia",5,0,1
"Thailand","Vietnam","05/24/15","World Cup","Qualifiers-Asia",1,0,1
"Taiwan","Thailand","06/16/15","World Cup","Qualifiers-Asia",0,2,1
"Iraq","Taiwan","09/03/15","World Cup","Qualifiers-Asia",5,1,1
"Taiwan","Vietnam","09/08/15","World Cup","Qualifiers-Asia",1,2,1
"Thailand","Iraq","09/08/15","World Cup","Qualifiers-Asia",2,2,1
"Vietnam","Iraq","10/08/15","World Cup","Qualifiers-Asia",1,1,1
"Vietnam","Thailand","10/13/15","World Cup","Qualifiers-Asia",0,3,1
"Thailand","Taiwan","11/12/15","World Cup","Qualifiers-Asia",4,2,1
"Taiwan","Iraq","11/17/15","World Cup","Qualifiers-Asia",0,2,1
"Vietnam","Taiwan","03/24/16","World Cup","Qualifiers-Asia",4,1,1
"Iraq","Thailand","03/24/16","World Cup","Qualifiers-Asia",2,2,1
"Iraq","Vietnam","03/29/16","World Cup","Qualifiers-Asia",1,0,1
"Laos","Myanmar","06/11/15","World Cup","Qualifiers-Asia",2,2,1
"Lebanon","Kuwait","06/11/15","World Cup","Qualifiers-Asia",0,1,1
"Myanmar","South Korea","06/16/15","World Cup","Qualifiers-Asia",0,2,1
"Laos","Lebanon","06/16/15","World Cup","Qualifiers-Asia",0,2,1
"South Korea","Laos","09/03/15","World Cup","Qualifiers-Asia",8,0,1
"Kuwait","Myanmar","09/03/15","World Cup","Qualifiers-Asia",9,0,1
"Laos","Kuwait","09/08/15","World Cup","Qualifiers-Asia",0,2,1
"Lebanon","South Korea","09/08/15","World Cup","Qualifiers-Asia",0,3,1
"Myanmar","Lebanon","10/08/15","World Cup","Qualifiers-Asia",0,2,1
"Kuwait","South Korea","10/08/15","World Cup","Qualifiers-Asia",0,1,1
"Myanmar","Laos","10/13/15","World Cup","Qualifiers-Asia",3,1,1
"Kuwait","Lebanon","10/13/15","World Cup","Qualifiers-Asia",0,0,1
"South Korea","Myanmar","11/12/15","World Cup","Qualifiers-Asia",4,0,1
"Lebanon","Laos","11/12/15","World Cup","Qualifiers-Asia",7,0,1
"Laos","South Korea","11/17/15","World Cup","Qualifiers-Asia",0,5,1
"South Korea","Lebanon","03/24/16","World Cup","Qualifiers-Asia",1,0,1
"Lebanon","Myanmar","03/29/16","World Cup","Qualifiers-Asia",1,1,1
"Philippines","Bahrain","06/11/15","World Cup","Qualifiers-Asia",2,1,1
"Yemen","North Korea","06/11/15","World Cup","Qualifiers-Asia",0,1,1
"North Korea","Uzbekistan","06/16/15","World Cup","Qualifiers-Asia",4,2,1
"Yemen","Philippines","06/16/15","World Cup","Qualifiers-Asia",0,2,1
"Uzbekistan","Yemen","09/03/15","World Cup","Qualifiers-Asia",1,0,1
"Bahrain","North Korea","09/03/15","World Cup","Qualifiers-Asia",0,1,1
"Philippines","Uzbekistan","09/08/15","World Cup","Qualifiers-Asia",1,5,1
"Yemen","Bahrain","09/08/15","World Cup","Qualifiers-Asia",0,4,1
"North Korea","Philippines","10/08/15","World Cup","Qualifiers-Asia",0,0,1
"Bahrain","Uzbekistan","10/08/15","World Cup","Qualifiers-Asia",0,4,1
"North Korea","Yemen","10/13/15","World Cup","Qualifiers-Asia",1,0,1
"Bahrain","Philippines","10/13/15","World Cup","Qualifiers-Asia",2,0,1
"Philippines","Yemen","11/12/15","World Cup","Qualifiers-Asia",0,1,1
"Uzbekistan","North Korea","11/12/15","World Cup","Qualifiers-Asia",3,1,1
"North Korea","Bahrain","11/17/15","World Cup","Qualifiers-Asia",2,0,1
"Yemen","Uzbekistan","11/17/15","World Cup","Qualifiers-Asia",1,3,1
"Uzbekistan","Philippines","03/24/16","World Cup","Qualifiers-Asia",1,0,1
"Bahrain","Yemen","03/24/16","World Cup","Qualifiers-Asia",3,0,1
"Philippines","North Korea","03/29/16","World Cup","Qualifiers-Asia",3,2,1
"Uzbekistan","Bahrain","03/29/16","World Cup","Qualifiers-Asia",1,0,1
"South Korea","China","09/01/16","World Cup","Qualifiers-Asia",3,2,1
"Uzbekistan","Syria","09/01/16","World Cup","Qualifiers-Asia",1,0,1
"Iran","Qatar","09/01/16","World Cup","Qualifiers-Asia",2,0,1
"China","Iran","09/06/16","World Cup","Qualifiers-Asia",0,0,1
