"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Saudi Arabia","Algeria","2018-05-09","Friendly",2,0,2,0,0,0
"Iraq","Palestine","2018-05-08","Friendly",0,0,0,0,0,1
"Saint Barthelemy","Saint Martin","2018-04-29","Friendly",3,1,3,1,0,1
"Antigua and Barbuda","Jamaica","2018-04-29","Friendly",0,2,0,2,0,1
"Saint Kitts and Nevis","Jamaica","2018-04-26","Friendly",1,3,1,3,0,1
"Swaziland","Namibia","2018-04-19","Friendly",1,0,1,0,0,1
"Trinidad and Tobago","Panama","2018-04-17","Friendly",0,1,0,1,0,1
"Malaysia","Bhutan","2018-04-01","Friendly",7,0,7,0,0,1
"Antigua and Barbuda","Dominica","2018-04-01","Friendly",0,0,0,0,0,1
"Kyrgyzstan","India","2018-03-27","Asian Cup qualifier",2,1,2,1,0,1
"Kosovo","Burkina Faso","2018-03-27","Friendly",2,0,2,0,0,0
"Central African Republic","Kenya","2018-03-27","Friendly",3,2,3,2,0,0
"Romania","Sweden","2018-03-27","Friendly",1,0,1,0,0,1
"Switzerland","Panama","2018-03-27","Friendly",6,0,6,0,0,1
"Maldives","Bhutan","2018-03-27","Asian Cup qualifier",7,0,7,0,0,1
"Iran","Algeria","2018-03-27","Friendly",2,1,2,1,0,0
"Montenegro","Turkey","2018-03-27","Friendly",2,2,2,2,0,1
"Seychelles","Swaziland","2018-03-27","Friendly",0,0,0,0,0,1
"Azerbaijan","Macedonia","2018-03-27","Friendly",1,1,1,1,0,0
"North Korea","Hong Kong","2018-03-27","Asian Cup qualifier",2,0,2,0,0,1
"Slovenia","Belarus","2018-03-27","Friendly",0,2,0,2,0,1
"Armenia","Lithuania","2018-03-27","Friendly",0,1,0,1,0,1
"Georgia","Estonia","2018-03-27","Friendly",2,0,2,0,0,1
"Jordan","Vietnam","2018-03-27","Asian Cup qualifier",1,1,1,1,0,1
"Afghanistan","Cambodia","2018-03-27","Asian Cup qualifier",2,1,2,1,0,0
