"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Myanmar","Bangladesh","2011-03-23","Asian Cup & Asian Challenge Cup qual",0,2,0,2,0,1
"Tajikistan","Kyrgyzstan","2011-03-21","Asian Cup & Asian Challenge Cup qual",1,0,1,0,0,0
"Maldives","Cambodia","2011-03-21","Asian Cup & Asian Challenge Cup qual",4,0,4,0,0,1
"Turkmenistan","Pakistan","2011-03-21","Asian Cup & Asian Challenge Cup qual",3,0,3,0,0,0
"Palestine","Bangladesh","2011-03-21","Asian Cup & Asian Challenge Cup qual",2,0,2,0,0,0
"Myanmar","Philippines","2011-03-21","Asian Cup & Asian Challenge Cup qual",1,1,1,1,0,1
"India","Taiwan","2011-03-21","Asian Cup & Asian Challenge Cup qual",3,0,3,0,0,0
"Nepal","Bhutan","2011-03-19","Friendly",2,1,2,1,0,1
"Nepal","Bhutan","2011-03-17","Friendly",1,0,1,0,0,1
"Argentina","Venezuela","2011-03-16","Friendly",4,1,4,1,0,1
"Botswana","Namibia","2011-03-16","Friendly",1,1,1,1,0,1
"Mongolia","Philippines","2011-03-15","Asian Cup & Asian Challenge Cup qual",2,1,2,1,0,1
"Gibraltar","Faroe Islands","2011-03-11","Friendly",3,0,3,0,0,1
"Laos","Taiwan","2011-02-16","Asian Cup & Asian Challenge Cup qual",1,1,1,1,0,1
"Macao","Cambodia","2011-02-16","Asian Cup & Asian Challenge Cup qual",3,2,3,2,0,1
"Bahrain","Kuwait","2011-02-14","Friendly",0,0,0,0,0,1
"Taiwan","Laos","2011-02-10","Asian Cup & Asian Challenge Cup qual",5,2,5,2,0,1
"Swaziland","Zambia","2011-02-09","Friendly",0,4,0,4,0,1
"Mozambique","Botswana","2011-02-09","Friendly",1,1,1,1,0,1
"Cape Verde","Burkina Faso","2011-02-09","Friendly",1,0,1,0,0,0
"San Marino","Liechtenstein","2011-02-09","Friendly",0,1,0,1,0,1
"Macedonia","Cameroon","2011-02-09","Friendly",0,1,0,1,0,1
"Sweden","Ukraine","2011-02-09","Friendly tournament",1,1,1,1,0,0
"Malta","Switzerland","2011-02-09","Friendly",0,0,0,0,0,1
"Turkey","South Korea","2011-02-09","Friendly",0,0,0,0,0,1
"Argentina","Portugal","2011-02-09","Friendly",2,1,2,1,0,0
"El Salvador","Haiti","2011-02-09","Friendly",1,0,1,0,0,1
"South Africa","Kenya","2011-02-09","Friendly",2,0,2,0,0,1
"Malaysia","Hong Kong","2011-02-09","Friendly",2,0,2,0,0,1
"Belarus","Kazakhstan","2011-02-09","Friendly",1,1,1,1,0,0
"Georgia","Armenia","2011-02-09","Friendly",2,1,2,1,0,0
"Namibia","Malawi","2011-02-09","Friendly",1,2,1,2,0,1
"Cambodia","Macao","2011-02-09","Asian Cup & Asian Challenge Cup qual",3,1,3,1,0,1
"Scotland","Northern Ireland","2011-02-09","Friendly tournament",3,0,3,0,0,0
"Luxembourg","Slovakia","2011-02-09","Friendly",2,1,2,1,0,1
"France","Brazil","2011-02-09","Friendly",1,0,1,0,0,1
"Greece","Canada","2011-02-09","Friendly",1,0,1,0,0,1
"Libya","Benin","2011-02-09","Friendly",3,2,3,2,0,1
"Spain","Colombia","2011-02-09","Friendly",1,0,1,0,0,1
"Hungary","Azerbaijan","2011-02-09","Friendly",2,0,2,0,0,0
"Belgium","Finland","2011-02-09","Friendly",1,1,1,1,0,1
"Honduras","Ecuador","2011-02-09","Friendly",1,1,1,1,0,1
"Mexico","Bosnia and Herzegovina","2011-02-09","Friendly",2,0,2,0,0,0
"Israel","Serbia","2011-02-09","Friendly",0,2,0,2,0,1
"Tanzania","Palestine","2011-02-09","Friendly",1,0,1,0,0,1
"Germany","Italy","2011-02-09","Friendly",1,1,1,1,0,1
"Iran","Russia","2011-02-09","Friendly",1,0,1,0,0,0
"Poland","Norway","2011-02-09","Friendly",1,0,1,0,0,0
"Denmark","England","2011-02-09","Friendly",1,2,1,2,0,1
"Philippines","Mongolia","2011-02-09","Asian Cup & Asian Challenge Cup qual",2,0,2,0,0,1
"Moldova","Andorra","2011-02-09","Friendly",2,1,2,1,0,0
"Croatia","Czechia","2011-02-09","Friendly",4,2,4,2,0,1
"Gabon","Democratic Republic of Congo","2011-02-09","Friendly",2,0,2,0,0,0
"Netherlands","Austria","2011-02-09","Friendly",3,1,3,1,0,1
"Venezuela","Costa Rica","2011-02-09","Friendly",2,2,2,2,0,1
"Nigeria","Sierra Leone","2011-02-09","Friendly",2,1,2,1,0,1
"Cyprus","Romania","2011-02-09","Friendly tournament",1,1,1,1,0,1
"Morocco","Niger","2011-02-09","Friendly",3,0,3,0,0,1
"Albania","Slovenia","2011-02-09","Friendly",1,2,1,2,0,1
"Senegal","Guinea","2011-02-09","Friendly",3,0,3,0,0,1
"Guinea-Bissau","Gambia","2011-02-09","Friendly",3,1,3,1,0,0
"Cyprus","Sweden","2011-02-08","Friendly tournament",0,2,0,2,0,1
"Ireland","Wales","2011-02-08","Friendly tournament",3,0,3,0,0,1
"Equatorial Guinea","Chad","2011-02-08","Friendly",2,0,2,0,0,1
"Peru","Panama","2011-02-08","Friendly",1,0,1,0,0,1
"Ghana","Togo","2011-02-08","Friendly",4,1,4,1,0,0
"Ivory Coast","Mali","2011-02-08","Friendly",1,0,1,0,0,0
"Romania","Ukraine","2011-02-08","Friendly tournament",2,2,2,2,0,0
"Poland","Moldova","2011-02-06","Friendly",1,0,1,0,0,0
"Japan","Australia","2011-01-29","Asian Cup",1,0,1,0,0,0
"South Korea","Uzbekistan","2011-01-28","Asian Cup",3,2,3,2,0,0
"Japan","South Korea","2011-01-25","Asian Cup",2,2,2,2,0,0
"Vanuatu","New Caledonia","2011-01-24","Friendly",0,0,0,0,0,1
"Panama","El Salvador","2011-01-23","Central American Cup",0,0,0,0,0,1
"Honduras","Costa Rica","2011-01-23","Central American Cup",2,1,2,1,0,0
"Australia","Iraq","2011-01-22","Asian Cup",1,0,1,0,0,0
"South Korea","Iran","2011-01-22","Asian Cup",1,0,1,0,0,0
"United States","Chile","2011-01-22","Friendly",1,1,1,1,0,1
"Uzbekistan","Jordan","2011-01-21","Asian Cup",2,1,2,1,0,0
"Qatar","Japan","2011-01-21","Asian Cup",2,3,2,3,0,1
"Panama","Costa Rica","2011-01-21","Central American Cup",1,1,1,1,0,1
"Guatemala","Nicaragua","2011-01-21","CONCACAF Champ q & Central Am Cup",2,1,2,1,0,0
"Honduras","El Salvador","2011-01-21","Central American Cup",2,0,2,0,0,0
"Sweden","Botswana","2011-01-19","Friendly",2,1,2,1,0,0
"Iran","United Arab Emirates","2011-01-19","Asian Cup",3,0,3,0,0,0
"Iraq","North Korea","2011-01-19","Asian Cup",1,0,1,0,0,0
"Belize","Nicaragua","2011-01-18","CONCACAF Champ q & Central Am Cup",1,1,1,1,0,0
"South Korea","India","2011-01-18","Asian Cup",4,1,4,1,0,0
"Panama","El Salvador","2011-01-18","CONCACAF Champ q & Central Am Cup",2,0,2,0,0,1
"Australia","Bahrain","2011-01-18","Asian Cup",1,0,1,0,0,0
"Honduras","Guatemala","2011-01-18","CONCACAF Champ q & Central Am Cup",3,1,3,1,0,0
"Jordan","Syria","2011-01-17","Asian Cup",2,1,2,1,0,0
"Japan","Saudi Arabia","2011-01-17","Asian Cup",5,0,5,0,0,0
"Egypt","Uganda","2011-01-17","Friendly tournament",3,1,3,1,0,1
"Democratic Republic of Congo","Kenya","2011-01-17","Friendly tournament",1,0,1,0,0,0
"El Salvador","Belize","2011-01-16","CONCACAF Champ q & Central Am Cup",5,2,5,2,0,0
"Qatar","Kuwait","2011-01-16","Asian Cup",3,0,3,0,0,1
"Panama","Nicaragua","2011-01-16","CONCACAF Champ q & Central Am Cup",2,0,2,0,0,1
"Costa Rica","Guatemala","2011-01-16","CONCACAF Champ q & Central Am Cup",2,0,2,0,0,0
"China","Uzbekistan","2011-01-16","Asian Cup",2,2,2,2,0,0
"Sudan","Tanzania","2011-01-16","Friendly tournament",2,0,2,0,0,0
"Iraq","United Arab Emirates","2011-01-15","Asian Cup",1,0,1,0,0,0
"Iran","North Korea","2011-01-15","Asian Cup",1,0,1,0,0,0
"Panama","Belize","2011-01-14","CONCACAF Champ q & Central Am Cup",2,0,2,0,0,1
"Australia","South Korea","2011-01-14","Asian Cup",1,1,1,1,0,0
"Egypt","Kenya","2011-01-14","Friendly tournament",5,1,5,1,0,1
"Bahrain","India","2011-01-14","Asian Cup",5,2,5,2,0,0
"Uganda","Democratic Republic of Congo","2011-01-14","Friendly tournament",1,0,1,0,0,0
"El Salvador","Nicaragua","2011-01-14","CONCACAF Champ q & Central Am Cup",2,0,2,0,0,0
"Costa Rica","Honduras","2011-01-14","CONCACAF Champ q & Central Am Cup",1,1,1,1,0,0
"Jordan","Saudi Arabia","2011-01-13","Asian Cup",1,0,1,0,0,0
"Japan","Syria","2011-01-13","Asian Cup",2,1,2,1,0,0
"Uzbekistan","Kuwait","2011-01-12","Asian Cup",2,1,2,1,0,0
"Qatar","China","2011-01-12","Asian Cup",2,0,2,0,0,1
"North Korea","United Arab Emirates","2011-01-11","Asian Cup",0,0,0,0,0,0
"Iran","Iraq","2011-01-11","Asian Cup",2,1,2,1,0,0
"Egypt","Burundi","2011-01-11","Friendly tournament",3,0,3,0,0,1
"Democratic Republic of Congo","Sudan","2011-01-11","Friendly tournament",2,1,2,1,0,0
"Tanzania","Uganda","2011-01-11","Friendly tournament",1,1,1,1,0,0
"South Korea","Bahrain","2011-01-10","Asian Cup",2,1,2,1,0,0
"Australia","India","2011-01-10","Asian Cup",4,0,4,0,0,0
"Japan","Jordan","2011-01-09","Asian Cup",1,1,1,1,0,0
"Syria","Saudi Arabia","2011-01-09","Asian Cup",2,1,2,1,0,0
"Burundi","Tanzania","2011-01-08","Friendly tournament",1,1,1,1,0,0
"China","Kuwait","2011-01-08","Asian Cup",2,0,2,0,0,0
"Egypt","Uganda","2011-01-08","Friendly tournament",1,0,1,0,0,1
"Democratic Republic of Congo","Kenya","2011-01-08","Friendly tournament",1,0,1,0,0,0
"Qatar","Uzbekistan","2011-01-07","Asian Cup",0,2,0,2,0,1
"United Arab Emirates","Australia","2011-01-05","Friendly",0,0,0,0,0,1
"Uganda","Burundi","2011-01-05","Friendly tournament",3,1,3,1,0,0
"Egypt","Tanzania","2011-01-05","Friendly tournament",5,1,5,1,0,1
"Kenya","Sudan","2011-01-05","Friendly tournament",1,0,1,0,0,0
"Saudi Arabia","Angola","2011-01-04","Friendly",0,0,0,0,0,1
"Bahrain","North Korea","2011-01-04","Friendly",0,1,0,1,0,1
"United Arab Emirates","Syria","2011-01-02","Friendly",2,0,2,0,0,1
"Jordan","Uzbekistan","2011-01-02","Friendly",2,2,2,2,0,0
"Iran","Angola","2011-01-02","Friendly",1,0,1,0,0,0
"China","Iraq","2011-01-02","Friendly",3,2,3,2,0,0
"Kuwait","Zambia","2010-12-31","Friendly",4,0,4,0,0,0
"Bahrain","Saudi Arabia","2010-12-31","Friendly",0,1,0,1,0,1
"Qatar","North Korea","2010-12-31","Friendly",0,1,0,1,0,1
"South Korea","Syria","2010-12-30","Friendly",1,0,1,0,0,0
"Indonesia","Malaysia","2010-12-29","Southeast Asian Championship",2,1,2,1,0,1
"Algeria","Chad","2010-12-28","Friendly",3,1,3,1,0,1
"Bahrain","Jordan","2010-12-28","Friendly",2,1,2,1,0,0
"Saudi Arabia","Iraq","2010-12-28","Friendly",0,1,0,1,0,1
"Qatar","Iran","2010-12-28","Friendly",0,0,0,0,0,1
"Kuwait","North Korea","2010-12-27","Friendly",2,2,2,2,0,0
"Malaysia","Indonesia","2010-12-26","Southeast Asian Championship",3,0,3,0,0,1
"Bahrain","Uzbekistan","2010-12-25","Friendly",1,1,1,1,0,0
"Kuwait","North Korea","2010-12-24","Friendly",2,1,2,1,0,0
"China","Macedonia","2010-12-22","Friendly",1,0,1,0,0,1
"Syria","Iraq","2010-12-22","Friendly",0,1,0,1,0,1
"Qatar","Estonia","2010-12-22","Friendly",2,0,2,0,0,1
"Indonesia","Philippines","2010-12-19","Southeast Asian Championship",1,0,1,0,0,1
"Vietnam","Malaysia","2010-12-18","Southeast Asian Championship",0,0,0,0,0,1
"Iraq","Syria","2010-12-18","Friendly",0,1,0,1,0,1
"China","Estonia","2010-12-18","Friendly",3,0,3,0,0,1
"Honduras","Panama","2010-12-18","Friendly",2,1,2,1,0,1
"Indonesia","Philippines","2010-12-16","Southeast Asian Championship",1,0,1,0,0,1
"Qatar","Egypt","2010-12-16","Friendly",2,1,2,1,0,1
"Malaysia","Vietnam","2010-12-15","Southeast Asian Championship",2,0,2,0,0,1
"Uganda","Ethiopia","2010-12-12","CECAFA Cup",4,3,4,3,0,0
"Tanzania","Ivory Coast","2010-12-12","CECAFA Cup",1,0,1,0,0,1
"Bosnia and Herzegovina","Poland","2010-12-10","Friendly",2,2,2,2,0,0
"Ivory Coast","Ethiopia","2010-12-10","CECAFA Cup",1,0,1,0,0,0
"Tanzania","Uganda","2010-12-10","CECAFA Cup",0,0,0,0,0,1
"Tanzania","Rwanda","2010-12-08","CECAFA Cup",1,0,1,0,0,1
"Uganda","Zanzibar","2010-12-08","CECAFA Cup",2,2,2,2,0,0
"Vietnam","Singapore","2010-12-08","Southeast Asian Championship",1,0,1,0,0,1
"Myanmar","Philippines","2010-12-08","Southeast Asian Championship",0,0,0,0,0,0
"Ethiopia","Zambia","2010-12-07","CECAFA Cup",2,1,2,1,0,0
"Indonesia","Thailand","2010-12-07","Southeast Asian Championship",2,1,2,1,0,1
"Ivory Coast","Malawi","2010-12-07","CECAFA Cup",1,0,1,0,0,0
"Malaysia","Laos","2010-12-07","Southeast Asian Championship",5,1,5,1,0,0
"Vietnam","Philippines","2010-12-05","Southeast Asian Championship",0,2,0,2,0,1
"Kuwait","Saudi Arabia","2010-12-05","Gulf Cup",1,0,1,0,0,0
"Singapore","Myanmar","2010-12-05","Southeast Asian Championship",2,1,2,1,0,0
"Ivory Coast","Sudan","2010-12-05","CECAFA Cup",3,0,3,0,0,0
"Uganda","Kenya","2010-12-05","CECAFA Cup",2,0,2,0,0,0
"Guadeloupe","Jamaica","2010-12-05","Caribbean Championship",1,1,1,1,0,0
"Cuba","Grenada","2010-12-05","Caribbean Championship",1,0,1,0,0,0
"Indonesia","Laos","2010-12-04","Southeast Asian Championship",6,0,6,0,0,1
"Ethiopia","Malawi","2010-12-04","CECAFA Cup",1,1,1,1,0,0
"Tanzania","Burundi","2010-12-04","CECAFA Cup",2,0,2,0,0,1
"Malaysia","Thailand","2010-12-04","Southeast Asian Championship",0,0,0,0,0,0
"Rwanda","Zanzibar","2010-12-03","CECAFA Cup",0,0,0,0,0,0
"Zambia","Somalia","2010-12-03","CECAFA Cup",6,0,6,0,0,0
"Jamaica","Grenada","2010-12-03","Caribbean Championship",2,1,2,1,0,0
"Guadeloupe","Cuba","2010-12-03","Caribbean Championship",2,1,2,1,0,0
"Saudi Arabia","United Arab Emirates","2010-12-02","Gulf Cup",1,0,1,0,0,0
"Vietnam","Myanmar","2010-12-02","Southeast Asian Championship",7,1,7,1,0,1
"Malawi","Uganda","2010-12-02","CECAFA Cup",1,1,1,1,0,0
"Iraq","Kuwait","2010-12-02","Gulf Cup",2,2,2,2,0,0
"Philippines","Singapore","2010-12-02","Southeast Asian Championship",1,1,1,1,0,0
"Ethiopia","Kenya","2010-12-02","CECAFA Cup",2,1,2,1,0,0
"Rwanda","Sudan","2010-12-01","CECAFA Cup",0,0,0,0,0,0
"Ivory Coast","Zanzibar","2010-12-01","CECAFA Cup",1,0,1,0,0,0
"Indonesia","Malaysia","2010-12-01","Southeast Asian Championship",5,1,5,1,0,1
"Laos","Thailand","2010-12-01","Southeast Asian Championship",2,2,2,2,0,0
"Jamaica","Guyana","2010-12-01","CONCACAF Champ qual & Carib Champ",4,0,4,0,0,0
"Guadeloupe","Antigua and Barbuda","2010-12-01","CONCACAF Champ qual & Carib Champ",1,0,1,0,0,0
"Burundi","Zambia","2010-11-30","CECAFA Cup",0,0,0,0,0,0
"Tanzania","Somalia","2010-11-30","CECAFA Cup",3,0,3,0,0,1
"Martinique","Trinidad and Tobago","2010-11-30","CONCACAF Champ qual & Carib Champ",0,1,0,1,0,1
"Cuba","Grenada","2010-11-30","CONCACAF Champ qual & Carib Champ",0,0,0,0,0,0
"United Arab Emirates","Bahrain","2010-11-29","Gulf Cup",3,1,3,1,0,0
"Malawi","Kenya","2010-11-29","CECAFA Cup",3,2,3,2,0,0
"Iraq","Oman","2010-11-29","Gulf Cup",0,0,0,0,0,0
"Uganda","Ethiopia","2010-11-29","CECAFA Cup",2,1,2,1,0,0
"Antigua and Barbuda","Guyana","2010-11-29","CONCACAF Champ qual & Carib Champ",1,0,1,0,0,0
"Jamaica","Guadeloupe","2010-11-29","CONCACAF Champ qual & Carib Champ",2,0,2,0,0,0
"Zanzibar","Sudan","2010-11-28","CECAFA Cup",2,0,2,0,0,0
"Burundi","Somalia","2010-11-28","CECAFA Cup",2,0,2,0,0,0
"Grenada","Trinidad and Tobago","2010-11-28","CONCACAF Champ qual & Carib Champ",1,0,1,0,0,0
"Yemen","Kuwait","2010-11-28","Gulf Cup",0,3,0,3,0,1
"Rwanda","Ivory Coast","2010-11-28","CECAFA Cup",2,1,2,1,0,0
"Qatar","Saudi Arabia","2010-11-28","Gulf Cup",1,1,1,1,0,0
"Martinique","Cuba","2010-11-28","CONCACAF Champ qual & Carib Champ",0,1,0,1,0,1
"Tanzania","Zambia","2010-11-27","CECAFA Cup",0,1,0,1,0,1
"Jamaica","Antigua and Barbuda","2010-11-27","CONCACAF Champ qual & Carib Champ",3,1,3,1,0,0
"Guadeloupe","Guyana","2010-11-27","CONCACAF Champ qual & Carib Champ",1,1,1,1,0,0
"Oman","United Arab Emirates","2010-11-26","Gulf Cup",0,0,0,0,0,0
"Iraq","Bahrain","2010-11-26","Gulf Cup",3,2,3,2,0,0
"Cuba","Trinidad and Tobago","2010-11-26","CONCACAF Champ qual & Carib Champ",2,0,2,0,0,0
"Singapore","Laos","2010-11-26","Friendly",4,0,4,0,0,1
"Martinique","Grenada","2010-11-26","CONCACAF Champ qual & Carib Champ",1,1,1,1,0,1
"Yemen","Qatar","2010-11-25","Gulf Cup",1,2,1,2,0,1
"Kuwait","Saudi Arabia","2010-11-25","Gulf Cup",0,0,0,0,0,0
"Indonesia","Taiwan","2010-11-24","Friendly",2,0,2,0,0,1
"Iraq","United Arab Emirates","2010-11-23","Gulf Cup",0,0,0,0,0,0
"Bahrain","Oman","2010-11-23","Gulf Cup",1,1,1,1,0,0
"Tanzania","Kenya","2010-11-23","Friendly",1,0,1,0,0,1
"Yemen","Saudi Arabia","2010-11-22","Gulf Cup",0,4,0,4,0,1
"Kuwait","Qatar","2010-11-22","Gulf Cup",1,0,1,0,0,0
"Indonesia","East Timor","2010-11-21","Friendly",6,0,6,0,0,1
"United Arab Emirates","India","2010-11-18","Friendly",5,0,5,0,0,1
"Qatar","Haiti","2010-11-18","Friendly",0,1,0,1,0,1
"Botswana","Tunisia","2010-11-17","African Nations Cup qualifier",1,0,1,0,0,1
"Burkina Faso","Guinea","2010-11-17","Friendly",2,1,2,1,0,0
"Finland","San Marino","2010-11-17","European Championship qualifier",8,0,8,0,0,1
"Sweden","Germany","2010-11-17","Friendly",0,0,0,0,0,1
"Switzerland","Ukraine","2010-11-17","Friendly",2,2,2,2,0,1
"Malawi","Rwanda","2010-11-17","Friendly",2,1,2,1,0,1
"Netherlands","Turkey","2010-11-17","Friendly",1,0,1,0,0,1
"Portugal","Spain","2010-11-17","Friendly",4,0,4,0,0,1
"Ireland","Norway","2010-11-17","Friendly",1,2,1,2,0,1
"Albania","Macedonia","2010-11-17","Friendly",0,0,0,0,0,1
"South Africa","United States","2010-11-17","Friendly tournament",0,1,0,1,0,1
"Hong Kong","Paraguay","2010-11-17","Friendly",0,7,0,7,0,1
"Oman","Belarus","2010-11-17","Friendly",0,4,0,4,0,1
"Slovenia","Georgia","2010-11-17","Friendly",1,2,1,2,0,1
"Tajikistan","Afghanistan","2010-11-17","Friendly",1,0,1,0,0,1
"Iraq","Kuwait","2010-11-17","Friendly",1,1,1,1,0,0
"Estonia","Liechtenstein","2010-11-17","Friendly",1,1,1,1,0,1
"Northern Ireland","Morocco","2010-11-17","Friendly",1,1,1,1,0,1
"Luxembourg","Algeria","2010-11-17","Friendly",0,0,0,0,0,1
"Argentina","Brazil","2010-11-17","Friendly",1,0,1,0,0,0
"Libya","Niger","2010-11-17","Friendly tournament",1,1,1,1,0,1
"Chile","Uruguay","2010-11-17","Friendly",2,0,2,0,0,1
"Egypt","Australia","2010-11-17","Friendly",3,0,3,0,0,1
"Hungary","Lithuania","2010-11-17","Friendly",2,0,2,0,0,1
"Israel","Iceland","2010-11-17","Friendly",3,2,3,2,0,1
"Ecuador","Venezuela","2010-11-17","Friendly",4,1,4,1,0,1
"Togo","Chad","2010-11-17","African Nations Cup qualifier",0,0,0,0,0,1
"Slovakia","Bosnia and Herzegovina","2010-11-17","Friendly",2,3,2,3,0,1
"Bulgaria","Serbia","2010-11-17","Friendly",0,1,0,1,0,1
"Poland","Ivory Coast","2010-11-17","Friendly",3,1,3,1,0,1
"Panama","Honduras","2010-11-17","Friendly",2,0,2,0,0,1
"Croatia","Malta","2010-11-17","European Championship qualifier",3,0,3,0,0,1
"Mali","Democratic Republic of Congo","2010-11-17","Friendly",3,1,3,1,0,0
"Ghana","Saudi Arabia","2010-11-17","Friendly",0,0,0,0,0,0
"Austria","Greece","2010-11-17","Friendly",1,2,1,2,0,1
"England","France","2010-11-17","Friendly",1,2,1,2,0,1
"Russia","Belgium","2010-11-17","Friendly",0,2,0,2,0,1
"Denmark","Czechia","2010-11-17","Friendly",0,0,0,0,0,1
"China","Latvia","2010-11-17","Friendly",1,0,1,0,0,1
"Costa Rica","Jamaica","2010-11-17","Friendly",0,0,0,0,0,0
"Colombia","Peru","2010-11-17","Friendly",1,1,1,1,0,1
"Guatemala","Guyana","2010-11-17","Friendly",3,0,3,0,0,0
"Montenegro","Azerbaijan","2010-11-17","Friendly",2,0,2,0,0,1
"Italy","Romania","2010-11-17","Friendly",1,1,1,1,0,0
"Senegal","Gabon","2010-11-17","Friendly",2,1,2,1,0,0
"Scotland","Faroe Islands","2010-11-16","Friendly",3,0,3,0,0,1
"Cape Verde","Guinea-Bissau","2010-11-16","Friendly",2,1,2,1,0,0
"Jordan","Cyprus","2010-11-16","Friendly",0,0,0,0,0,1
"Saudi Arabia","Uganda","2010-11-16","Friendly",0,0,0,0,0,0
"Kuwait","India","2010-11-14","Friendly",9,1,9,1,0,0
"Suriname","Dominica","2010-11-14","CONCACAF Champ & Carib Champ qual",5,0,5,0,0,0
"Bahrain","Syria","2010-11-14","Friendly",0,2,0,2,0,1
"Antigua and Barbuda","Cuba","2010-11-14","CONCACAF Champ & Carib Champ qual",0,0,0,0,0,1
"Antigua and Barbuda","Dominica","2010-11-12","CONCACAF Champ & Carib Champ qual",0,0,0,0,0,1
"Cuba","Suriname","2010-11-12","CONCACAF Champ & Carib Champ qual",3,3,3,3,0,0
"Iraq","India","2010-11-11","Friendly",2,0,2,0,0,0
"Yemen","North Korea","2010-11-10","Friendly",1,1,1,1,0,1
"Cuba","Dominica","2010-11-10","CONCACAF Champ & Carib Champ qual",4,2,4,2,0,0
"Bahrain","Uganda","2010-11-10","Friendly",0,0,0,0,0,1
"Antigua and Barbuda","Suriname","2010-11-10","CONCACAF Champ & Carib Champ qual",2,1,2,1,0,1
"Yemen","Uganda","2010-11-07","Friendly",2,2,2,2,0,1
"Trinidad and Tobago","Haiti","2010-11-06","CONCACAF Champ & Carib Champ qual",4,0,4,0,0,1
"Vietnam","North Korea","2010-11-06","Friendly tournament",0,2,0,2,0,1
"Guyana","Saint Vincent and the Grenadines","2010-11-06","CONCACAF Champ & Carib Champ qual",2,0,2,0,0,0
"Haiti","Saint Vincent and the Grenadines","2010-11-04","CONCACAF Champ & Carib Champ qual",3,1,3,1,0,0
"Vietnam","Singapore","2010-11-04","Friendly tournament",1,1,1,1,0,1
"Trinidad and Tobago","Guyana","2010-11-04","CONCACAF Champ & Carib Champ qual",2,1,2,1,0,1
"Guyana","Haiti","2010-11-02","CONCACAF Champ & Carib Champ qual",0,0,0,0,0,0
"Trinidad and Tobago","Saint Vincent and the Grenadines","2010-11-02","CONCACAF Champ & Carib Champ qual",6,2,6,2,0,1
"North Korea","Singapore","2010-11-02","Friendly tournament",2,1,2,1,0,0
"Aruba","Bonaire","2010-10-31","Friendly tournament",3,3,3,3,0,0
"Curacao","Suriname","2010-10-31","Friendly tournament",2,2,2,2,0,1
"Curacao","Aruba","2010-10-29","Friendly tournament",3,0,3,0,0,1
"Suriname","Bonaire","2010-10-29","Friendly tournament",4,2,4,2,0,0
"Yemen","Senegal","2010-10-28","Friendly",4,1,4,1,0,1
"Botswana","Swaziland","2010-10-27","Friendly",2,0,2,0,0,1
"Saint Kitts and Nevis","Puerto Rico","2010-10-26","CONCACAF Champ & Carib Champ qual",1,0,1,0,0,0
"Panama","Cuba","2010-10-26","Friendly",0,3,0,3,0,1
"Cambodia","Philippines","2010-10-26","Southeast Asian Championship qualifier",0,0,0,0,0,0
"Grenada","Guadeloupe","2010-10-26","CONCACAF Champ & Carib Champ qual",0,3,0,3,0,1
"Laos","East Timor","2010-10-26","Southeast Asian Championship qualifier",6,1,6,1,0,1
"Grenada","Saint Kitts and Nevis","2010-10-24","CONCACAF Champ & Carib Champ qual",2,0,2,0,0,1
"Cambodia","East Timor","2010-10-24","Southeast Asian Championship qualifier",4,2,4,2,0,0
"Guadeloupe","Puerto Rico","2010-10-24","CONCACAF Champ & Carib Champ qual",3,2,3,2,0,0
"Laos","Philippines","2010-10-24","Southeast Asian Championship qualifier",2,2,2,2,0,1
"Guadeloupe","Saint Kitts and Nevis","2010-10-22","CONCACAF Champ & Carib Champ qual",2,1,2,1,0,0
"Grenada","Puerto Rico","2010-10-22","CONCACAF Champ & Carib Champ qual",3,1,3,1,0,1
"Philippines","East Timor","2010-10-22","Southeast Asian Championship qualifier",5,0,5,0,0,0
"Netherlands Antilles","Saint Lucia","2010-10-17","CONCACAF Champ & Carib Champ qual",2,2,2,2,0,0
"Dominican Republic","Dominica","2010-10-17","CONCACAF Champ & Carib Champ qual",0,1,0,1,0,1
"Suriname","Guyana","2010-10-17","CONCACAF Champ & Carib Champ qual",0,2,0,2,0,1
"Guyana","Netherlands Antilles","2010-10-15","CONCACAF Champ & Carib Champ qual",3,2,3,2,0,0
"Dominica","British Virgin Islands","2010-10-15","CONCACAF Champ & Carib Champ qual",10,0,10,0,0,1
"Suriname","Saint Lucia","2010-10-15","CONCACAF Champ & Carib Champ qual",2,1,2,1,0,1
"Dominican Republic","British Virgin Islands","2010-10-14","CONCACAF Champ & Carib Champ qual",17,0,17,0,0,1
"India","Yemen","2010-10-13","Friendly",3,6,3,6,0,1
"Suriname","Netherlands Antilles","2010-10-13","CONCACAF Champ & Carib Champ qual",2,1,2,1,0,1
"Guyana","Saint Lucia","2010-10-13","CONCACAF Champ & Carib Champ qual",1,0,1,0,0,0
"Equatorial Guinea","Botswana","2010-10-12","Friendly",0,2,0,2,0,1
"San Marino","Moldova","2010-10-12","European Championship qualifier",0,2,0,2,0,1
"Faroe Islands","Northern Ireland","2010-10-12","European Championship qualifier",1,1,1,1,0,1
"Netherlands","Sweden","2010-10-12","European Championship qualifier",4,1,4,1,0,1
"Switzerland","Wales","2010-10-12","European Championship qualifier",4,1,4,1,0,1
"Indonesia","Maldives","2010-10-12","Friendly",3,0,3,0,0,1
