"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"France","Switzerland","2016-06-19","EUC-G",0,0,1,1.6067,1.1763,1.5651,1.2182,0.225,-0.2584,0.1655,-0.1884,0.2052,-0.2656,0.1572,-0.2092,0.6032,0.2198,0.1769,1.0039,0
"Portugal","Austria","2016-06-18","EUC-G",0,0,0,1.3439,1.0852,1.3188,1.1103,0.1917,-0.2125,0.1562,-0.1702,0.1732,-0.2235,0.1446,-0.1894,0.4367,0.2746,0.2887,0.8003,0
"Iceland","Hungary","2016-06-18","EUC-G",1,1,0,0.9901,0.9496,0.986,0.9538,0.1333,-0.1646,0.1297,-0.1559,0.1331,-0.1635,0.1304,-0.1565,0.3683,0.2863,0.3454,0.7643,0
"Belgium","Republic of Ireland","2016-06-18","EUC-G",3,0,0,1.1735,1.1779,1.3895,0.963,0.165,-0.188,0.16,-0.1943,0.2005,-0.2175,0.1318,-0.1579,0.3556,0.2864,0.358,0.6254,0
"Spain","Turkey","2016-06-17","EUC-G",3,0,0,1.709,0.9754,1.8532,0.8318,0.2329,-0.2812,0.1185,-0.1749,0.26,-0.2974,0.1031,-0.1471,0.5605,0.2604,0.1791,0.293,1
"Italy","Sweden","2016-06-17","EUC-G",1,0,0,1.402,1.1006,1.4609,1.0409,0.1949,-0.2268,0.1628,-0.1683,0.197,-0.2424,0.1445,-0.1686,0.4492,0.2735,0.2774,0.4551,1
"Czech Republic","Croatia","2016-06-17","EUC-G",2,2,0,1.0118,1.2722,1.0373,1.2472,0.1472,-0.1571,0.1671,-0.2156,0.1619,-0.1501,0.1779,-0.1972,0.2865,0.2813,0.4323,0.7855,0
"Ukraine","Northern Ireland","2016-06-16","EUC-G",0,2,0,1.1616,0.6131,0.9512,0.8248,0.1489,-0.2005,0.0726,-0.1118,0.1181,-0.168,0.1041,-0.144,0.5101,0.273,0.2169,0.948,0
"Germany","Poland","2016-06-16","EUC-G",0,0,0,2.0655,1.3407,1.9953,1.4111,0.3124,-0.3089,0.2056,-0.1977,0.2848,-0.3154,0.1986,-0.2258,0.5955,0.2262,0.1783,0.9852,0
"England","Wales","2016-06-16","EUC-G",2,1,0,1.6059,0.7723,1.5944,0.7837,0.2375,-0.2456,0.0903,-0.142,0.2401,-0.2395,0.1005,-0.1352,0.6053,0.2354,0.1593,0.2366,1
"Russia","Slovakia","2016-06-15","EUC-G",1,2,0,1.2347,0.7103,1.1151,0.8311,0.1668,-0.2046,0.0997,-0.1139,0.1561,-0.1794,0.1228,-0.1272,0.5139,0.2633,0.2229,0.9373,0
"Romania","Switzerland","2016-06-15","EUC-G",1,1,0,0.9585,1.1999,0.9817,1.1763,0.1164,-0.1719,0.1694,-0.1915,0.1228,-0.1725,0.1655,-0.1884,0.2898,0.2876,0.4226,0.7701,0
"France","Albania","2016-06-15","EUC-G",2,0,1,1.5788,0.5827,1.6067,0.5555,0.2254,-0.2495,0.0514,-0.1239,0.225,-0.2584,0.0473,-0.1197,0.7556,0.1601,0.0843,0.0925,1
"Portugal","Iceland","2016-06-14","EUC-G",1,1,0,1.3866,0.9477,1.3439,0.9901,0.1988,-0.2183,0.1262,-0.1588,0.1917,-0.2125,0.1333,-0.1646,0.4876,0.2696,0.2427,0.8301,0
"Austria","Hungary","2016-06-14","EUC-G",0,2,0,1.2982,0.7382,1.0852,0.9496,0.1917,-0.1988,0.0999,-0.1221,0.1562,-0.1702,0.1297,-0.1559,0.5313,0.2537,0.215,0.9629,0
"Spain","Czech Republic","2016-06-13","EUC-G",1,0,0,1.6834,1.0381,1.709,1.0118,0.2354,-0.2709,0.1622,-0.15,0.2329,-0.2812,0.1472,-0.1571,0.5597,0.2442,0.1961,0.292,1
"Republic of Ireland","Sweden","2016-06-13","EUC-G",1,1,0,1.1871,1.0912,1.1779,1.1006,0.1604,-0.1966,0.1638,-0.1644,0.16,-0.1943,0.1628,-0.1683,0.3875,0.2799,0.3325,0.7793,0
"Belgium","Italy","2016-06-13","EUC-G",0,2,0,1.3424,1.234,1.1735,1.402,0.1928,-0.211,0.171,-0.2002,0.165,-0.188,0.1949,-0.2268,0.3894,0.2827,0.3279,0.6833,0
"Turkey","Croatia","2016-06-12","EUC-G",0,1,0,1.0493,1.1979,0.9754,1.2722,0.135,-0.1806,0.1623,-0.198,0.1185,-0.1749,0.1671,-0.2156,0.3134,0.2916,0.395,0.5493,1
"Poland","Northern Ireland","2016-06-12","EUC-G",1,0,0,1.3181,0.6351,1.3407,0.6131,0.2153,-0.1811,0.0834,-0.1076,0.2056,-0.1977,0.0726,-0.1118,0.5818,0.2309,0.1872,0.2632,1
"Germany","Ukraine","2016-06-12","EUC-G",2,0,0,1.9768,1.2474,2.0655,1.1616,0.3047,-0.2899,0.1608,-0.2144,0.3124,-0.3089,0.1489,-0.2005,0.5808,0.2404,0.1788,0.2655,1
"Wales","Slovakia","2016-06-11","EUC-G",2,1,0,0.6946,0.7897,0.7723,0.7103,0.068,-0.141,0.1056,-0.132,0.0903,-0.142,0.0997,-0.1139,0.3253,0.2979,0.3767,0.6859,0
"England","Russia","2016-06-11","EUC-G",1,1,0,1.651,1.1904,1.6059,1.2347,0.2464,-0.2502,0.1588,-0.1993,0.2375,-0.2456,0.1668,-0.2046,0.4963,0.2659,0.2378,0.8418,0
"Albania","Switzerland","2016-06-11","EUC-G",0,1,0,0.6178,1.1638,0.5827,1.1999,0.0602,-0.1257,0.1735,-0.1765,0.0514,-0.1239,0.1694,-0.1915,0.2178,0.2665,0.5157,0.353,1
"France","Romania","2016-06-10","EUC-G",2,1,1,1.6096,0.9283,1.5788,0.9585,0.2264,-0.2578,0.1045,-0.1747,0.2254,-0.2495,0.1164,-0.1719,0.6653,0.2034,0.1313,0.1706,1
