"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"France","Switzerland","2016-06-19","EUC-G",0,0,1,1.6829,1.2249,1.6609,1.2468,1.0295,-0.6585,0.7572,-0.4714,0.9551,-0.7108,0.7089,-0.5417,0.5929,0.2318,0.1753,0.9724,0
"Portugal","Austria","2016-06-18","EUC-G",0,0,0,1.2388,1.0818,1.2314,1.0892,0.8,-0.4426,0.7236,-0.3614,0.7331,-0.5021,0.6639,-0.4285,0.3973,0.2916,0.3111,0.7565,0
"Iceland","Hungary","2016-06-18","EUC-G",1,1,0,0.8941,0.9559,0.8988,0.9512,0.6372,-0.2596,0.6568,-0.302,0.6418,-0.2598,0.6583,-0.2958,0.3369,0.2922,0.371,0.7521,0
"Belgium","Republic of Ireland","2016-06-18","EUC-G",3,0,0,1.0637,1.0872,1.2509,0.9002,0.6917,-0.3752,0.7056,-0.385,0.7982,-0.4564,0.6241,-0.2789,0.3432,0.3009,0.3559,0.6486,0
"Spain","Turkey","2016-06-17","EUC-G",3,0,0,1.8608,0.9728,1.9871,0.8479,0.9999,-0.8666,0.5952,-0.3805,1.0747,-0.9184,0.5384,-0.3121,0.5732,0.2741,0.1527,0.2806,1
"Italy","Sweden","2016-06-17","EUC-G",1,0,0,1.3744,1.1616,1.4566,1.08,0.8511,-0.5274,0.7985,-0.3666,0.8626,-0.5984,0.7218,-0.3614,0.4155,0.2868,0.2977,0.5125,1
"Czech Republic","Croatia","2016-06-17","EUC-G",2,2,0,0.9496,1.3393,0.9857,1.3009,0.6961,-0.2563,0.7851,-0.5582,0.7547,-0.234,0.8263,-0.4785,0.2523,0.2865,0.4612,0.7854,0
"Ukraine","Northern Ireland","2016-06-16","EUC-G",0,2,0,1.0681,0.4579,0.8654,0.6576,0.5988,-0.4725,0.382,-0.0773,0.5166,-0.3513,0.4908,-0.1688,0.5044,0.2932,0.2024,0.9766,0
"Germany","Poland","2016-06-16","EUC-G",0,0,0,1.8746,1.239,1.8458,1.2678,1.1653,-0.715,0.8528,-0.3899,1.0843,-0.7671,0.8002,-0.4714,0.5564,0.2454,0.1982,0.9183,0
"England","Wales","2016-06-16","EUC-G",2,1,0,1.7593,0.6607,1.7143,0.7069,1.0307,-0.734,0.4336,-0.2291,1.0382,-0.6813,0.4954,-0.2136,0.6487,0.2319,0.1194,0.1914,1
"Russia","Slovakia","2016-06-15","EUC-G",1,2,0,1.1967,0.5929,1.0941,0.6944,0.7674,-0.433,0.4854,-0.1093,0.7481,-0.3493,0.5648,-0.1317,0.5283,0.2666,0.2051,0.982,0
"Romania","Switzerland","2016-06-15","EUC-G",1,1,0,1.0295,1.242,1.0471,1.2249,0.5886,-0.444,0.7546,-0.4912,0.6183,-0.4319,0.7572,-0.4714,0.2873,0.3191,0.3936,0.7011,0
"France","Albania","2016-06-15","EUC-G",2,0,1,1.63,0.5236,1.6829,0.4689,1.0359,-0.5991,0.3114,-0.2137,1.0295,-0.6585,0.2727,-0.1976,0.764,0.1601,0.0758,0.0871,1
"Portugal","Iceland","2016-06-14","EUC-G",1,1,0,1.2701,0.8631,1.2388,0.8941,0.8107,-0.4633,0.6182,-0.2474,0.8,-0.4426,0.6372,-0.2596,0.4702,0.2808,0.249,0.8003,0
"Austria","Hungary","2016-06-14","EUC-G",0,2,0,1.2621,0.7753,1.0818,0.9559,0.8136,-0.4523,0.5652,-0.2124,0.7236,-0.3614,0.6568,-0.302,0.4937,0.2757,0.2306,0.9117,0
"Spain","Czech Republic","2016-06-13","EUC-G",1,0,0,1.8141,0.9952,1.8608,0.9496,1.0019,-0.8177,0.7645,-0.2337,0.9999,-0.8666,0.6961,-0.2563,0.5928,0.2445,0.1627,0.2521,1
"Republic of Ireland","Sweden","2016-06-13","EUC-G",1,1,0,1.0805,1.1682,1.0872,1.1616,0.6947,-0.389,0.8039,-0.3679,0.7056,-0.385,0.7985,-0.3666,0.3302,0.291,0.3787,0.7551,0
"Belgium","Italy","2016-06-13","EUC-G",0,2,0,1.2093,1.2288,1.0637,1.3744,0.7709,-0.4421,0.7847,-0.4478,0.6917,-0.3752,0.8511,-0.5274,0.3456,0.2983,0.3561,0.623,1
"Turkey","Croatia","2016-06-12","EUC-G",0,1,0,1.0599,1.2522,0.9728,1.3393,0.6646,-0.3985,0.768,-0.488,0.5952,-0.3805,0.7851,-0.5582,0.2966,0.3064,0.3969,0.5456,1
"Poland","Northern Ireland","2016-06-12","EUC-G",1,0,0,1.1872,0.5103,1.239,0.4579,0.8731,-0.3177,0.4447,-0.0671,0.8528,-0.3899,0.382,-0.0773,0.5711,0.2397,0.1892,0.2772,1
"Germany","Ukraine","2016-06-12","EUC-G",2,0,0,1.7706,1.1766,1.8746,1.0681,1.1372,-0.6388,0.6538,-0.5264,1.1653,-0.715,0.5988,-0.4725,0.5177,0.2754,0.2069,0.3513,1
"Wales","Slovakia","2016-06-11","EUC-G",2,1,0,0.6019,0.6485,0.6607,0.5929,0.356,-0.2477,0.4842,-0.1663,0.4336,-0.2291,0.4854,-0.1093,0.328,0.3205,0.3515,0.6779,0
"England","Russia","2016-06-11","EUC-G",1,1,0,1.8121,1.1443,1.7593,1.1967,1.0452,-0.7724,0.7323,-0.4155,1.0307,-0.734,0.7674,-0.433,0.5359,0.2722,0.1919,0.8537,0
"Albania","Switzerland","2016-06-11","EUC-G",0,1,0,0.587,1.1794,0.5236,1.242,0.3643,-0.2244,0.7557,-0.4272,0.3114,-0.2137,0.7546,-0.4912,0.2062,0.2909,0.5029,0.3742,1
"France","Romania","2016-06-10","EUC-G",2,1,1,1.656,1.0012,1.63,1.0295,1.0379,-0.6231,0.5339,-0.4702,1.0359,-0.5991,0.5886,-0.444,0.6338,0.2255,0.1407,0.2047,1
