"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"Peru","Paraguay","2015-07-04","COP-K",2,0,0,1.0469,0.7646,1.1758,0.6324,0.1478,-0.1671,0.1323,-0.0977,0.1649,-0.1888,0.1049,-0.0853,0.4545,0.26,0.2855,0.4467,1
"Chile","Argentina","2015-07-04","COP-K",0,0,1,1.6804,1.8636,1.6983,1.8459,0.2515,-0.254,0.2704,-0.2902,0.2377,-0.2732,0.2529,-0.3023,0.4097,0.2525,0.3377,0.8407,0
"Argentina","Paraguay","2015-07-01","COP-K",6,1,0,1.6828,0.9504,1.8636,0.7646,0.2148,-0.2914,0.1383,-0.1476,0.2704,-0.2902,0.1323,-0.0977,0.5663,0.2546,0.1791,0.285,1
"Chile","Peru","2015-06-30","COP-K",2,1,1,1.7126,1.015,1.6804,1.0469,0.2553,-0.2598,0.14,-0.1653,0.2515,-0.254,0.1478,-0.1671,0.6957,0.1806,0.1236,0.1405,1
"Brazil","Paraguay","2015-06-27","COP-K",1,1,0,1.3716,0.9054,1.3262,0.9504,0.2129,-0.1997,0.1335,-0.1388,0.2022,-0.1967,0.1383,-0.1476,0.5118,0.2508,0.2375,0.8796,0
"Argentina","Colombia","2015-06-27","COP-K",0,0,0,1.6969,1.5516,1.6828,1.5657,0.2285,-0.282,0.2037,-0.263,0.2148,-0.2914,0.1948,-0.2761,0.3882,0.301,0.3108,0.7359,0
"Bolivia","Peru","2015-06-26","COP-K",1,3,0,0.456,0.9362,0.3751,1.015,0.0699,-0.0672,0.1142,-0.1674,0.0663,-0.0466,0.14,-0.1653,0.2331,0.2662,0.5007,0.3745,1
"Chile","Uruguay","2015-06-25","COP-K",1,0,1,1.685,1.2637,1.7126,1.237,0.2649,-0.242,0.1685,-0.2116,0.2553,-0.2598,0.1572,-0.2149,0.6116,0.211,0.1773,0.2268,1
"Colombia","Peru","2015-06-21","COP-G",0,0,0,1.6255,0.862,1.5516,0.9362,0.2285,-0.2604,0.1175,-0.1418,0.2037,-0.263,0.1142,-0.1674,0.5854,0.2421,0.1725,0.9469,0
"Brazil","Venezuela","2015-06-21","COP-G",2,1,0,1.3542,0.8155,1.3716,0.7986,0.2074,-0.1999,0.0949,-0.1504,0.2129,-0.1997,0.1013,-0.1389,0.5194,0.2609,0.2197,0.3473,1
