HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"France","Republic of Ireland","2016/06/26","EUC-K",2,1,1,0.4806,-0.5014,-0.0897,-0.3961,0.5774,-0.4775,0.0134,-0.3738
"Germany","Slovakia","2016/06/26","EUC-K",3,0,0,0.6618,-0.5284,0.0974,-0.1253,0.692,-0.5494,0.0469,-0.1124
"Hungary","Belgium","2016/06/26","EUC-K",0,4,0,0.1189,-0.0569,0.0193,-0.0663,0.0968,-0.015,0.0517,-0.0951
"Croatia","Portugal","2016/06/25","EUC-K",0,1,0,0.4292,-0.3967,0.2175,-0.3429,0.3724,-0.3831,0.2307,-0.402
"Switzerland","Poland","2016/06/25","EUC-K",1,1,0,0.0146,-0.4191,0.7113,0.0524,0.0168,-0.4281,0.7038,0.0551
"Wales","Northern Ireland","2016/06/25","EUC-K",1,0,0,0.0609,0.0922,-0.3785,-0.0216,0.0625,0.0688,-0.4022,-0.0201
"Hungary","Portugal","2016/06/22","EUC-G",3,3,0,0.0821,-0.1203,0.1942,-0.4417,0.1189,-0.0569,0.2175,-0.3429
"Iceland","Austria","2016/06/22","EUC-G",2,1,0,0.0057,0.1745,-0.1042,-0.1535,0.0285,0.1763,-0.1033,-0.1115
"Italy","Republic of Ireland","2016/06/22","EUC-G",0,1,0,0.4389,-0.498,-0.1296,-0.3562,0.3772,-0.4717,-0.0897,-0.3961
"Sweden","Belgium","2016/06/22","EUC-G",0,1,0,0.4102,-0.2697,0.0028,-0.0344,0.3528,-0.2604,0.0193,-0.0663
"Croatia","Spain","2016/06/21","EUC-G",2,1,0,0.3475,-0.3872,0.7172,-0.9386,0.4292,-0.3967,0.7082,-0.8522
"Czech Republic","Turkey","2016/06/21","EUC-G",0,2,0,0.1628,-0.3169,0.1464,-0.3352,0.1067,-0.2849,0.1971,-0.37
"Northern Ireland","Germany","2016/06/21","EUC-G",0,1,0,-0.3599,0.0012,0.6715,-0.4843,-0.3785,-0.0216,0.6618,-0.5284
"Ukraine","Poland","2016/06/21","EUC-G",0,1,0,-0.0984,-0.6078,0.7106,0.1319,-0.1628,-0.607,0.7113,0.0524
"Russia","Wales","2016/06/20","EUC-G",0,3,0,0.2011,-0.341,-0.0394,0.1206,0.134,-0.2967,0.0609,0.0922
"Slovakia","England","2016/06/20","EUC-G",0,0,0,0.1184,-0.0609,0.5274,-0.5659,0.0974,-0.1253,0.5003,-0.6156
"France","Switzerland","2016/06/19","EUC-G",0,0,1,0.7494,-0.4418,0.2405,-0.3493,0.4806,-0.5014,0.0146,-0.4191
"Romania","Albania","2016/06/19","EUC-G",0,1,0,0.3156,-0.3271,-0.6441,0.1301,0.2722,-0.299,-0.6024,0.1014
"Belgium","Republic of Ireland","2016/06/18","EUC-G",3,0,0,-0.0522,0.005,-0.1006,-0.43,0.0028,-0.0344,-0.1296,-0.3562
"Iceland","Hungary","2016/06/18","EUC-G",1,1,0,0.0005,0.1769,0.085,-0.1247,0.0057,0.1745,0.0821,-0.1203
"Portugal","Austria","2016/06/18","EUC-G",0,0,0,0.2645,-0.3959,-0.0462,-0.0981,0.1942,-0.4417,-0.1042,-0.1535
"Czech Republic","Croatia","2016/06/17","EUC-G",2,2,0,0.0944,-0.3638,0.3007,-0.4559,0.1628,-0.3169,0.3475,-0.3872
"Italy","Sweden","2016/06/17","EUC-G",1,0,0,0.4416,-0.4421,0.4754,-0.2674,0.4389,-0.498,0.4102,-0.2697
"Spain","Turkey","2016/06/17","EUC-G",3,0,0,0.6657,-0.9095,0.1984,-0.3646,0.7172,-0.9386,0.1464,-0.3352
"England","Wales","2016/06/16","EUC-G",2,1,0,0.5221,-0.5853,-0.0829,0.1182,0.5274,-0.5659,-0.0394,0.1206
"Germany","Poland","2016/06/16","EUC-G",0,0,0,0.7531,-0.3883,0.7843,0.2385,0.6715,-0.4843,0.7106,0.1319
"Ukraine","Northern Ireland","2016/06/16","EUC-G",0,2,0,-0.0296,-0.6716,-0.5152,0.0277,-0.0984,-0.6078,-0.3599,0.0012
"France","Albania","2016/06/15","EUC-G",2,0,1,0.7896,-0.4226,-0.3837,0.1334,0.7494,-0.4418,-0.6441,0.1301
"Romania","Switzerland","2016/06/15","EUC-G",1,1,0,0.3104,-0.339,0.2333,-0.358,0.3156,-0.3271,0.2405,-0.3493
"Russia","Slovakia","2016/06/15","EUC-G",1,2,0,0.2024,-0.3672,0.0504,-0.0604,0.2011,-0.341,0.1184,-0.0609
"Austria","Hungary","2016/06/14","EUC-G",0,2,0,0.0088,-0.1155,0.0426,-0.1027,-0.0462,-0.0981,0.085,-0.1247
"Portugal","Iceland","2016/06/14","EUC-G",1,1,0,0.2822,-0.4094,-0.0342,0.1836,0.2645,-0.3959,0.0005,0.1769
"Belgium","Italy","2016/06/13","EUC-G",0,2,0,-0.0256,-0.0138,0.4333,-0.3808,-0.0522,0.005,0.4416,-0.4421
"Republic of Ireland","Sweden","2016/06/13","EUC-G",1,1,0,-0.1197,-0.4335,0.4729,-0.2939,-0.1006,-0.43,0.4754,-0.2674
"Spain","Czech Republic","2016/06/13","EUC-G",1,0,0,0.6766,-0.8569,0.1512,-0.3537,0.6657,-0.9095,0.0944,-0.3638
"Germany","Ukraine","2016/06/12","EUC-G",2,0,0,0.7032,-0.3195,0.0371,-0.723,0.7531,-0.3883,-0.0296,-0.6716
"Poland","Northern Ireland","2016/06/12","EUC-G",1,0,0,0.8307,0.2642,-0.4214,0.0407,0.7843,0.2385,-0.5152,0.0277
"Turkey","Croatia","2016/06/12","EUC-G",0,1,0,0.2358,-0.3752,0.2946,-0.3902,0.1984,-0.3646,0.3007,-0.4559
"Albania","Switzerland","2016/06/11","EUC-G",0,1,0,-0.3626,0.1475,0.2385,-0.2995,-0.3837,0.1334,0.2333,-0.358
"England","Russia","2016/06/11","EUC-G",1,1,0,0.5242,-0.62,0.1704,-0.3649,0.5221,-0.5853,0.2024,-0.3672
"Wales","Slovakia","2016/06/11","EUC-G",2,1,0,-0.1075,0.1192,0.0515,-0.0831,-0.0829,0.1182,0.0504,-0.0604
"France","Romania","2016/06/10","EUC-G",2,1,1,0.5111,-0.4387,0.1014,-0.3612,0.7896,-0.4226,0.3104,-0.339
"Denmark","Sweden","2015/11/17","EUC-Q",2,2,1,0.2777,-0.3286,0.4625,-0.3029,0.2862,-0.3175,0.4729,-0.2939
"Slovenia","Ukraine","2015/11/17","EUC-Q",1,1,1,-0.1353,-0.0629,0.0362,-0.7411,-0.13,-0.0599,0.0371,-0.723
"Republic of Ireland","Bosnia-Herzegovina","2015/11/16","EUC-Q",2,0,1,-0.1256,-0.4272,0.0383,0.1258,-0.1197,-0.4335,0.0259,0.1288
"Hungary","Norway","2015/11/15","EUC-Q",2,1,1,0.0367,-0.1035,0.0876,-0.3985,0.0426,-0.1027,0.0884,-0.3921
"Sweden","Denmark","2015/11/14","EUC-Q",2,1,1,0.4561,-0.3052,0.2753,-0.3346,0.4625,-0.3029,0.2777,-0.3286
"Ukraine","Slovenia","2015/11/14","EUC-Q",2,0,1,0.0235,-0.7356,-0.1157,-0.0665,0.0362,-0.7411,-0.1353,-0.0629
"Bosnia-Herzegovina","Republic of Ireland","2015/11/13","EUC-Q",1,1,1,0.0367,0.1244,-0.1263,-0.4303,0.0383,0.1258,-0.1256,-0.4272
"Norway","Hungary","2015/11/12","EUC-Q",0,1,1,0.0956,-0.4016,0.0333,-0.0962,0.0876,-0.3985,0.0367,-0.1035
"Belgium","Israel","2015/10/13","EUC-Q",3,1,1,-0.0331,-0.0145,0.0147,-0.0346,-0.0256,-0.0138,0.0154,-0.0269
"Bulgaria","Azerbaijan","2015/10/13","EUC-Q",2,0,1,0.1773,0.0052,-1.0683,0.391,0.1768,0.0007,-1.0743,0.3906
"Cyprus","Bosnia-Herzegovina","2015/10/13","EUC-Q",2,3,1,-0.2227,0.381,0.0316,0.1206,-0.2187,0.3858,0.0367,0.1244
"Italy","Norway","2015/10/13","EUC-Q",2,1,1,0.4252,-0.3836,0.0886,-0.4049,0.4333,-0.3808,0.0956,-0.4016
"Latvia","Kazakhstan","2015/10/13","EUC-Q",0,1,1,-0.1481,0.3338,-0.3577,0.3849,-0.159,0.3349,-0.3566,0.3738
"Malta","Croatia","2015/10/13","EUC-Q",0,1,1,-0.8807,0.6271,0.2983,-0.3799,-0.8845,0.617,0.2946,-0.3902
"Netherlands","Czech Republic","2015/10/13","EUC-Q",2,3,1,0.6642,-0.463,0.1156,-0.3566,0.6673,-0.4304,0.1512,-0.3537
"Turkey","Iceland","2015/10/13","EUC-Q",1,0,1,0.2399,-0.3686,-0.0246,0.1864,0.2358,-0.3752,-0.0342,0.1836
"Wales","Andorra","2015/10/13","EUC-Q",2,0,1,-0.1066,0.1244,-1.0749,0.747,-0.1075,0.1192,-1.0799,0.7461
"Austria","Liechtenstein","2015/10/12","EUC-Q",3,0,1,0.007,-0.1112,-1.0046,0.7197,0.0088,-0.1155,-1.0139,0.7205
"Belarus","Macedonia","2015/10/12","EUC-Q",0,0,1,-0.1336,0.1583,-0.0875,0.2199,-0.1412,0.1508,-0.0951,0.2123
"Estonia","Switzerland","2015/10/12","EUC-Q",0,1,1,-0.4928,0.1762,0.24,-0.2834,-0.4979,0.1716,0.2385,-0.2995
"Lithuania","England","2015/10/12","EUC-Q",0,3,1,-0.502,-0.0523,0.5196,-0.6087,-0.5064,-0.0407,0.5242,-0.62
"Luxembourg","Slovakia","2015/10/12","EUC-Q",2,4,1,-1.083,0.6772,0.047,-0.0966,-1.0669,0.6809,0.0515,-0.0831
"Russia","Montenegro","2015/10/12","EUC-Q",2,0,1,0.1644,-0.3505,-0.1391,-0.0204,0.1704,-0.3649,-0.1569,-0.0156
"San Marino","Slovenia","2015/10/12","EUC-Q",0,2,1,-1.5119,1.0359,-0.1148,-0.0638,-1.5145,1.0349,-0.1157,-0.0665
"Sweden","Moldova","2015/10/12","EUC-Q",2,0,1,0.4605,-0.2993,-0.5669,0.3181,0.4561,-0.3052,-0.5821,0.3164
"Ukraine","Spain","2015/10/12","EUC-Q",0,1,1,0.0445,-0.7387,0.6724,-0.8413,0.0235,-0.7356,0.6766,-0.8569
"Armenia","Albania","2015/10/11","EUC-Q",0,3,1,-0.3801,0.2009,-0.3727,0.1544,-0.3868,0.2113,-0.3626,0.1475
"Faroe Islands","Romania","2015/10/11","EUC-Q",0,3,1,-0.606,0.6915,0.0993,-0.3534,-0.6107,0.6949,0.1014,-0.3612
"Finland","Northern Ireland","2015/10/11","EUC-Q",1,1,1,-0.2073,0.0106,-0.4249,0.0405,-0.2071,0.014,-0.4214,0.0407
"Germany","Georgia","2015/10/11","EUC-Q",2,1,1,0.7047,-0.323,-0.0959,-0.1172,0.7032,-0.3195,-0.0862,-0.1177
"Gibraltar","Scotland","2015/10/11","EUC-Q",0,6,1,-1.3152,0.6414,-0.0832,-0.1651,-1.3419,0.6483,-0.024,-0.1681
"Greece","Hungary","2015/10/11","EUC-Q",4,3,1,0.0187,-0.3085,-0.0026,-0.1051,0.0451,-0.2964,0.0333,-0.0962
"Poland","Republic of Ireland","2015/10/11","EUC-Q",2,1,1,0.8287,0.2645,-0.1258,-0.4314,0.8307,0.2642,-0.1263,-0.4303
"Serbia","Portugal","2015/10/11","EUC-Q",1,2,1,0.1166,-0.0957,0.2755,-0.4121,0.1184,-0.0852,0.2822,-0.4094
"Andorra","Belgium","2015/10/10","EUC-Q",1,4,1,-1.0824,0.7422,-0.0376,-0.0226,-1.0749,0.747,-0.0331,-0.0145
"Azerbaijan","Italy","2015/10/10","EUC-Q",1,3,1,-1.0792,0.3854,0.4232,-0.414,-1.0683,0.391,0.4252,-0.3836
"Bosnia-Herzegovina","Wales","2015/10/10","EUC-Q",2,0,1,0.0295,0.1282,-0.0992,0.1223,0.0316,0.1206,-0.1066,0.1244
"Croatia","Bulgaria","2015/10/10","EUC-Q",3,0,1,0.2879,-0.3704,0.1967,0.0001,0.2983,-0.3799,0.1773,0.0052
"Czech Republic","Turkey","2015/10/10","EUC-Q",0,2,1,0.1346,-0.3661,0.2225,-0.3583,0.1156,-0.3566,0.2399,-0.3686
"Iceland","Latvia","2015/10/10","EUC-Q",2,2,1,-0.0257,0.1794,-0.1532,0.3322,-0.0246,0.1864,-0.1481,0.3338
"Israel","Cyprus","2015/10/10","EUC-Q",1,2,1,0.0178,-0.0425,-0.2316,0.3837,0.0147,-0.0346,-0.2227,0.381
"Kazakhstan","Netherlands","2015/10/10","EUC-Q",1,2,1,-0.3647,0.3897,0.6665,-0.4774,-0.3577,0.3849,0.6642,-0.463
"Norway","Malta","2015/10/10","EUC-Q",2,0,1,0.09,-0.4012,-0.8765,0.6283,0.0886,-0.4049,-0.8807,0.6271
"England","Estonia","2015/10/09","EUC-Q",2,0,1,0.5226,-0.6044,-0.4809,0.1772,0.5196,-0.6087,-0.4928,0.1762
