"Player","Contest","Year","Apps","Goals"
"Milan Baros","WOC-Q",2002,6,3
"Milan Baros","Friendlies",2001,2,1
"Milan Jovanovic","EUC-Q",2012,9,1
"Milan Jovanovic","Friendlies",2012,1,0
"Milan Jovanovic","Friendlies",2011,3,0
"Milan Jovanovic","Friendlies",2010,4,0
"Milan Jovanovic","WOC-G",2010,3,1
"Milan Jovanovic","WOC-Q",2010,8,5
"Milan Jovanovic","Friendlies",2009,5,0
"Milan Jovanovic","EUC-Q",2008,7,2
"Milan Jovanovic","Friendlies",2008,1,0
"Milivoje Novakovic","EUC-Q",2016,9,6
"Milivoje Novakovic","Friendlies",2016,2,0
"Milivoje Novakovic","Friendlies",2014,2,0
"Milivoje Novakovic","WOC-Q",2014,6,5
"Milivoje Novakovic","Friendlies",2013,1,1
"Milivoje Novakovic","EUC-Q",2012,9,2
"Milivoje Novakovic","Friendlies",2011,2,1
"Milivoje Novakovic","Friendlies",2010,4,3
"Milivoje Novakovic","WOC-G",2010,3,0
"Milivoje Novakovic","WOC-Q",2010,12,5
"Milivoje Novakovic","Friendlies",2009,2,0
"Milivoje Novakovic","EUC-Q",2008,11,2
"Milivoje Novakovic","Friendlies",2008,3,1
"Milos Krasic","WOC-G",2010,3,0
"Milos Krasic","WOC-Q",2010,10,2
"Mirko Ivanovski","EUC-Q",2016,6,0
"Mirko Ivanovski","WOC-Q",2014,8,0
"Mirko Ivanovski","Friendlies",2013,4,0
"Mirko Ivanovski","EUC-Q",2012,3,1
"Mirko Ivanovski","Friendlies",2012,3,0
"Mirko Ivanovski","Friendlies",2011,1,0
"Mirko Ivanovski","Friendlies",2010,1,0
"Miroslav Klose","Friendlies",2014,2,1
"Miroslav Klose","WOC-G",2014,2,1
"Miroslav Klose","WOC-K",2014,3,1
"Miroslav Klose","WOC-Q",2014,6,4
"Miroslav Klose","Friendlies",2013,2,0
"Miroslav Klose","EUC-G",2012,3,0
"Miroslav Klose","EUC-K",2012,2,1
"Miroslav Klose","EUC-Q",2012,6,9
"Miroslav Klose","Friendlies",2012,4,0
"Miroslav Klose","Friendlies",2011,6,2
"Miroslav Klose","Friendlies",2010,3,0
"Miroslav Klose","WOC-G",2010,2,1
"Miroslav Klose","WOC-K",2010,3,3
"Miroslav Klose","WOC-Q",2010,8,7
"Miroslav Klose","Friendlies",2009,2,0
"Miroslav Klose","EUC-G",2008,3,1
"Miroslav Klose","EUC-K",2008,3,1
"Miroslav Klose","EUC-Q",2008,9,5
"Miroslav Klose","Friendlies",2008,5,3
"Miroslav Klose","Friendlies",2006,6,6
"Miroslav Klose","WOC-G",2006,3,4
"Miroslav Klose","WOC-K",2006,4,1
"Miroslav Klose","Friendlies",2005,5,0
"Miroslav Klose","EUC-G",2004,2,0
"Miroslav Klose","EUC-Q",2004,8,2
"Miroslav Klose","Friendlies",2004,9,5
"Miroslav Klose","Friendlies",2003,4,0
"Miroslav Klose","Friendlies",2002,8,6
"Miroslav Klose","WOC-G",2002,3,5
"Miroslav Klose","WOC-K",2002,4,0
"Miroslav Klose","WOC-Q",2002,5,2
"Miroslav Klose","Friendlies",2001,2,0
"Miroslav Stoch","WOC-G",2010,1,0
"Murad Huseynov","EUC-Q",2012,2,1
"Murad Huseynov","Friendlies",2011,3,0
"Nacer Chadli","WOC-G",2014,1,0
"Nani","WOC-G",2014,3,1
"Nani","WOC-Q",2014,10,1
"Nani","EUC-G",2012,3,0
"Nani","EUC-K",2012,2,0
"Nani","EUC-Q",2012,10,5
"Nani","WOC-Q",2010,11,3
"Nani","EUC-G",2008,2,0
"Nani","EUC-Q",2008,9,1
"Nejc Pecnik","EUC-Q",2016,8,2
"Nejc Pecnik","Friendlies",2014,4,0
"Nejc Pecnik","WOC-Q",2014,3,0
"Nejc Pecnik","Friendlies",2013,1,0
"Nejc Pecnik","EUC-Q",2012,2,0
"Nejc Pecnik","Friendlies",2012,2,2
"Nejc Pecnik","Friendlies",2011,2,0
"Nejc Pecnik","Friendlies",2010,1,0
"Nejc Pecnik","WOC-G",2010,2,0
"Nejc Pecnik","WOC-Q",2010,6,2
"Nejc Pecnik","Friendlies",2009,1,0
"Nelson Oliveira","Friendlies",2015,2,0
"Nelson Oliveira","WOC-Q",2014,2,0
"Nelson Oliveira","Friendlies",2013,4,0
"Nelson Oliveira","EUC-G",2012,3,0
"Nelson Oliveira","EUC-K",2012,1,0
"Nelson Oliveira","Friendlies",2012,4,1
"Nicklas Bendtner","EUC-Q",2016,10,2
"Nicklas Bendtner","Friendlies",2015,4,3
"Nicklas Bendtner","Friendlies",2014,3,0
"Nicklas Bendtner","WOC-Q",2014,3,3
"Nicklas Bendtner","Friendlies",2013,1,0
"Nicklas Bendtner","EUC-G",2012,3,2
"Nicklas Bendtner","EUC-Q",2012,5,3
"Nicklas Bendtner","Friendlies",2012,5,2
"Nicklas Bendtner","Friendlies",2011,5,2
"Nicklas Bendtner","Friendlies",2010,1,1
"Nicklas Bendtner","WOC-G",2010,3,1
"Nicklas Bendtner","WOC-Q",2010,9,3
"Nicklas Bendtner","Friendlies",2009,2,0
"Nicklas Bendtner","EUC-Q",2008,9,2
"Nicklas Bendtner","Friendlies",2008,6,2
"Nicklas Bendtner","Friendlies",2007,2,1
"Nicklas Bendtner","Friendlies",2006,3,2
"Nicklas Pedersen","EUC-Q",2016,5,1
"Nicklas Pedersen","Friendlies",2016,2,0
"Nicklas Pedersen","Friendlies",2015,3,1
"Nicklas Pedersen","EUC-Q",2012,5,1
"Nicklas Pedersen","Friendlies",2012,1,0
"Nicklas Pedersen","Friendlies",2011,1,0
"Nicklas Pedersen","KIC",2011,2,0
"Nicklas Pedersen","Friendlies",2010,5,2
"Nicklas Pedersen","WOC-Q",2010,7,3
"Nicklas Pedersen","Friendlies",2009,5,1
"Nikica Jelavic","EUC-Q",2016,1,0
"Nikica Jelavic","Friendlies",2014,3,1
"Nikica Jelavic","WOC-G",2014,2,0
"Nikica Jelavic","WOC-Q",2014,6,1
"Nikica Jelavic","Friendlies",2013,2,1
"Nikica Jelavic","EUC-G",2012,3,1
"Nikica Jelavic","EUC-Q",2012,9,0
"Nikica Jelavic","Friendlies",2012,2,0
"Nikica Jelavic","Friendlies",2011,2,0
"Nikica Jelavic","Friendlies",2010,3,1
"Nikica Jelavic","WOC-Q",2010,1,0
"Nikica Jelavic","Friendlies",2009,2,1
"Nikola Kalinic","EUC-Q",2016,4,1
"Nikola Kalinic","Friendlies",2016,1,0
"Nikola Kalinic","Friendlies",2015,1,1
"Nikola Kalinic","Friendlies",2014,0,0
"Nikola Kalinic","WOC-Q",2014,5,0
"Nikola Kalinic","Friendlies",2013,2,1
"Nikola Kalinic","EUC-Q",2012,6,2
"Nikola Kalinic","Friendlies",2012,1,1
"Nikola Kalinic","Friendlies",2011,3,2
"Nikola Kalinic","WOC-Q",2010,1,0
"Nikola Kalinic","EUC-G",2008,1,0
"Nikola Kalinic","EUC-Q",2008,0,0
"Nikola Kalinic","Friendlies",2008,1,0
"Nikola Zigic","EUC-Q",2012,5,2
"Nikola Zigic","Friendlies",2011,2,0
"Nikola Zigic","Friendlies",2010,6,1
"Nikola Zigic","WOC-G",2010,3,0
"Nikola Zigic","WOC-Q",2010,9,3
"Nikola Zigic","Friendlies",2009,3,2
"Nikola Zigic","EUC-Q",2008,11,7
"Nikola Zigic","Friendlies",2008,2,0
"Nikola Zigic","Friendlies",2006,1,0
"Nikola Zigic","WOC-G",2006,2,1
"Nikola Zigic","WOC-Q",2006,4,0
"Nikola Zigic","Friendlies",2005,3,2
"Nikos Liberopoulos","EUC-K",2012,1,0
"Nikos Liberopoulos","EUC-Q",2012,2,0
"Nikos Liberopoulos","Friendlies",2012,1,0
"Nikos Liberopoulos","Friendlies",2011,5,0
"Nikos Liberopoulos","WOC-Q",2010,3,0
"Nikos Liberopoulos","Friendlies",2009,2,0
"Nikos Liberopoulos","EUC-G",2008,1,0
"Nikos Liberopoulos","EUC-Q",2008,9,3
"Nikos Liberopoulos","Friendlies",2008,5,1
"Nikos Liberopoulos","Friendlies",2006,3,0
"Nikos Liberopoulos","WOC-Q",2006,2,1
"Nikos Liberopoulos","Friendlies",2005,2,0
"Nikos Liberopoulos","Friendlies",2003,1,0
"Nikos Liberopoulos","Friendlies",2002,2,0
"Nikos Liberopoulos","WOC-Q",2002,6,1
"Nikos Liberopoulos","Friendlies",2001,4,1
"Nikos Liberopoulos","EUC-Q",2000,7,1
"Nikos Liberopoulos","Friendlies",2000,6,1
"Nikos Liberopoulos","Friendlies",1999,10,4
"Nikos Liberopoulos","Friendlies",1996,3,0
"Nizami Hajiyev","Friendlies",2012,1,1
"Nizami Hajiyev","Friendlies",2011,1,0
"Ola Toivonen","EUC-Q",2016,4,1
"Ola Toivonen","Friendlies",2015,2,1
"Ola Toivonen","Friendlies",2014,4,1
"Ola Toivonen","WOC-Q",2014,5,0
"Ola Toivonen","Friendlies",2013,2,0
"Ola Toivonen","EUC-G",2012,2,0
"Ola Toivonen","EUC-Q",2012,9,2
"Ola Toivonen","Friendlies",2012,5,2
"Ola Toivonen","WOC-Q",2010,0,0
"Ola Toivonen","Friendlies",2009,2,0
"Ola Toivonen","Friendlies",2007,2,0
"Olivier Giroud","Friendlies",2016,2,1
"Olivier Giroud","Friendlies",2015,10,4
"Olivier Giroud","Friendlies",2014,4,3
"Olivier Giroud","WOC-G",2014,3,1
"Olivier Giroud","WOC-K",2014,2,0
"Olivier Giroud","WOC-Q",2014,9,2
"Olivier Giroud","Friendlies",2013,5,2
"Olivier Giroud","EUC-G",2012,2,0
"Olivier Giroud","EUC-K",2012,1,0
"Olivier Giroud","Friendlies",2012,7,1
"Olivier Giroud","Friendlies",2011,2,0
"Pavel Pogrebnyak","EUC-G",2012,1,0
"Pavel Pogrebnyak","EUC-Q",2012,7,2
"Pavel Pogrebnyak","Friendlies",2012,2,0
"Pavel Pogrebnyak","Friendlies",2011,3,1
"Pavel Pogrebnyak","Friendlies",2010,3,0
"Pavel Pogrebnyak","WOC-Q",2010,7,1
"Pavel Pogrebnyak","Friendlies",2009,1,0
"Pavel Pogrebnyak","EUC-Q",2008,5,1
"Pavel Pogrebnyak","Friendlies",2008,2,2
"Pavel Pogrebnyak","Friendlies",2007,1,0
"Pavel Pogrebnyak","Friendlies",2006,1,1
"Pawel Brozek","Friendlies",2014,1,1
"Pawel Brozek","WOC-Q",2014,1,0
"Pawel Brozek","EUC-G",2012,2,0
"Pawel Brozek","Friendlies",2012,2,0
"Pawel Brozek","Friendlies",2011,9,3
"Pawel Brozek","Friendlies",2010,3,2
"Pawel Brozek","WOC-Q",2010,5,1
"Pawel Brozek","Friendlies",2009,3,1
"Pawel Brozek","Friendlies",2008,3,0
"Pawel Brozek","Friendlies",2007,2,0
"Pawel Brozek","Friendlies",2006,2,0
"Pawel Brozek","WOC-Q",2006,3,0
"Pawel Brozek","Friendlies",2005,2,1
"Pedro","EUC-Q",2016,8,2
"Pedro","Friendlies",2016,1,0
"Pedro","Friendlies",2015,2,0
"Pedro","Friendlies",2014,5,1
"Pedro","WOC-G",2014,2,0
"Pedro","WOC-Q",2014,8,4
"Pedro","COC-G",2013,2,1
"Pedro","COC-K",2013,2,0
"Pedro","Friendlies",2013,5,2
"Pedro","EUC-K",2012,3,0
"Pedro","EUC-Q",2012,2,0
"Pedro","Friendlies",2012,2,4
"Pedro","Friendlies",2011,3,1
"Pedro","Friendlies",2010,5,1
"Pedro","WOC-G",2010,1,0
"Pedro","WOC-K",2010,4,0
"Petr Jiracek","EUC-G",2012,2,2
"Petr Jiracek","EUC-K",2012,1,0
"Petr Jiracek","EUC-Q",2012,4,1
"Philip Hosiner","WOC-Q",2014,3,2
"Philip Hosiner","Friendlies",2013,1,0
"Philip Hosiner","EUC-Q",2012,1,0
"Ranko Despotovic","Friendlies",2011,2,0
"Ranko Despotovic","EUC-Q",2008,1,0
"Ranko Despotovic","Friendlies",2008,1,0
"Rauf Aliyev","EUC-Q",2016,5,0
"Rauf Aliyev","Friendlies",2014,3,0
"Rauf Aliyev","WOC-Q",2014,8,1
"Rauf Aliyev","Friendlies",2013,4,2
"Rauf Aliyev","EUC-Q",2012,7,2
"Rauf Aliyev","Friendlies",2012,5,1
"Rauf Aliyev","Friendlies",2011,3,1
"Rauf Aliyev","Friendlies",2010,7,0
"Ricardo Quaresma","EUC-G",2008,1,0
"Rizvan Umarov","Friendlies",2012,3,0
"Robbie Keane","NAC",2011,2,3
"Robbie Keane","WOC-Q",2010,12,6
"Robbie Keane","Friendlies",2009,2,1
"Robbie Keane","EUC-Q",2008,11,4
"Robbie Keane","Friendlies",2008,4,2
"Robbie Keane","Friendlies",2007,1,2
"Robbie Keane","Friendlies",2006,2,1
"Robbie Keane","WOC-Q",2006,9,4
"Robbie Keane","Friendlies",2005,2,0
"Robbie Keane","EUC-Q",2004,6,2
"Robbie Keane","Friendlies",2004,6,3
"Robbie Keane","Friendlies",2003,3,2
"Robbie Keane","Friendlies",2002,5,3
"Robbie Keane","WOC-G",2002,3,2
"Robbie Keane","WOC-K",2002,1,1
"Robbie Keane","WOC-Q",2002,7,1
"Robbie Keane","Friendlies",2001,1,0
"Robbie Keane","EUC-Q",2000,7,5
"Robbie Keane","Friendlies",2000,6,1
"Robbie Keane","Friendlies",1999,3,0
"Robbie Keane","Friendlies",1998,3,0
"Robert Lewandowski ","EUC-Q",2016,10,13
"Robert Lewandowski ","Friendlies",2016,2,0
"Robert Lewandowski ","Friendlies",2015,1,2
"Robert Lewandowski ","Friendlies",2014,2,1
"Robert Lewandowski ","WOC-Q",2014,9,3
"Robert Lewandowski ","Friendlies",2013,4,0
"Robert Lewandowski ","EUC-G",2012,3,1
"Robert Lewandowski ","Friendlies",2012,4,1
"Robert Lewandowski ","Friendlies",2011,11,4
"Robert Lewandowski ","Friendlies",2010,13,5
"Robert Lewandowski ","WOC-Q",2010,9,2
"Robert Lewandowski ","Friendlies",2009,6,0
"Robert Lewandowski ","Friendlies",2008,1,1
"Robert Vittek","EUC-Q",2016,1,0
"Robert Vittek","Friendlies",2016,1,0
"Robert Vittek","EUC-Q",2012,3,0
"Robert Vittek","Friendlies",2011,1,0
"Robert Vittek","Friendlies",2010,3,1
"Robert Vittek","WOC-G",2010,4,4
"Robert Vittek","WOC-Q",2010,9,0
"Robert Vittek","Friendlies",2009,5,2
"Robert Vittek","EUC-Q",2008,5,2
"Robert Vittek","Friendlies",2008,1,0
"Robert Vittek","Friendlies",2007,2,0
"Robert Vittek","Friendlies",2006,2,0
"Robert Vittek","WOC-Q",2006,12,6
"Robert Vittek","Friendlies",2005,1,0
"Robert Vittek","EUC-Q",2004,6,2
"Robert Vittek","Friendlies",2004,2,0
"Robert Vittek","Friendlies",2003,1,0
"Robert Vittek","Friendlies",2002,2,0
"Robert Vittek","WOC-Q",2002,4,0
"Robert Vittek","Friendlies",2001,1,0
"Robin van Persie","EUC-Q",2016,8,3
"Robin van Persie","Friendlies",2015,1,0
"Robin van Persie","Friendlies",2014,5,2
"Robin van Persie","WOC-G",2014,2,3
"Robin van Persie","WOC-K",2014,4,1
"Robin van Persie","WOC-Q",2014,9,11
"Robin van Persie","Friendlies",2013,4,1
"Robin van Persie","EUC-G",2012,2,1
"Robin van Persie","EUC-Q",2012,6,6
"Robin van Persie","Friendlies",2012,4,3
"Robin van Persie","Friendlies",2011,3,0
"Robin van Persie","Friendlies",2010,4,4
"Robin van Persie","WOC-G",2010,3,1
"Robin van Persie","WOC-K",2010,4,0
"Robin van Persie","WOC-Q",2010,6,1
"Robin van Persie","Friendlies",2009,4,1
"Robin van Persie","EUC-G",2008,1,1
"Robin van Persie","EUC-K",2008,1,0
"Robin van Persie","EUC-Q",2008,7,4
"Robin van Persie","Friendlies",2008,4,3
"Robin van Persie","Friendlies",2007,1,0
"Robin van Persie","Friendlies",2006,4,1
"Robin van Persie","WOC-G",2006,3,1
"Robin van Persie","WOC-K",2006,1,0
"Robin van Persie","WOC-Q",2006,6,1
"Robin van Persie","Friendlies",2005,1,0
"Roland Linz","EUC-Q",2012,2,1
"Roland Linz","Friendlies",2010,2,0
"Roland Linz","WOC-Q",2010,0,0
"Roland Linz","EUC-G",2008,2,0
"Roland Linz","Friendlies",2008,3,0
"Roland Linz","Friendlies",2007,3,0
"Roland Linz","Friendlies",2006,1,0
"Roland Linz","WOC-Q",2006,5,2
"Roland Linz","EUC-Q",2004,2,0
"Roland Linz","Friendlies",2004,2,0
"Roman Kienast","Friendlies",2011,1,0
"Roman Kienast","WOC-Q",2010,1,0
"Roman Kienast","EUC-G",2008,3,0
"Roman Kienast","Friendlies",2008,1,0
"Roman Kienast","Friendlies",2007,1,0
"Roman Pavlyuchenko","EUC-G",2012,3,1
"Roman Pavlyuchenko","EUC-Q",2012,7,4
"Roman Pavlyuchenko","Friendlies",2012,3,0
"Roman Pavlyuchenko","Friendlies",2011,3,1
"Roman Pavlyuchenko","Friendlies",2010,2,0
"Roman Pavlyuchenko","WOC-Q",2010,9,5
"Roman Pavlyuchenko","Friendlies",2009,1,1
"Roman Pavlyuchenko","EUC-G",2008,3,1
"Roman Pavlyuchenko","EUC-K",2008,2,2
"Roman Pavlyuchenko","EUC-Q",2008,6,2
"Roman Pavlyuchenko","Friendlies",2008,5,2
"Roman Pavlyuchenko","Friendlies",2007,2,1
"Roman Pavlyuchenko","Friendlies",2006,1,0
"Roman Pavlyuchenko","WOC-Q",2006,3,1
"Roman Pavlyuchenko","Friendlies",2003,1,0
"Roman Wallner","EUC-Q",2012,0,0
"Roman Wallner","Friendlies",2010,2,1
"Roman Wallner","WOC-Q",2010,3,1
"Roman Wallner","Friendlies",2009,1,0
"Roman Wallner","WOC-Q",2006,1,0
"Roman Wallner","EUC-Q",2004,5,1
"Roman Wallner","Friendlies",2004,2,0
"Roman Wallner","Friendlies",2002,1,1
"Roman Wallner","WOC-Q",2002,3,0
"Romelu Lukaku","EUC-Q",2016,5,0
"Romelu Lukaku","Friendlies",2016,1,1
"Romelu Lukaku","Friendlies",2015,2,0
"Romelu Lukaku","Friendlies",2014,5,5
"Romelu Lukaku","WOC-G",2014,2,0
"Romelu Lukaku","WOC-K",2014,2,1
"Romelu Lukaku","WOC-Q",2014,4,2
"Romelu Lukaku","Friendlies",2013,5,0
"Romelu Lukaku","EUC-Q",2012,6,0
"Romelu Lukaku","Friendlies",2012,4,1
"Romelu Lukaku","Friendlies",2011,3,0
"Romelu Lukaku","Friendlies",2010,4,2
"Rubin Okotie","EUC-Q",2016,7,2
"Rubin Okotie","Friendlies",2016,2,0
"Rubin Okotie","Friendlies",2015,1,0
"Rubin Okotie","Friendlies",2014,1,0
"Rubin Okotie","Friendlies",2012,1,0
"Rubin Okotie","WOC-Q",2010,2,0
"Rubin Okotie","Friendlies",2009,1,0
"Rubin Okotie","Friendlies",2008,1,0
"Samir Fazli","Friendlies",2013,2,0
"Samir Fazli","EUC-Q",2012,2,0
"Samir Fazli","Friendlies",2012,2,0
"Samir Fazli","Friendlies",2011,1,0
"Sebastian Giovinco","EUC-Q",2016,4,0
"Sebastian Giovinco","Friendlies",2014,2,0
"Sebastian Gomez","EUC-Q",2016,1,0
"Sebastian Gomez","Friendlies",2015,2,0
"Sebastian Gomez","Friendlies",2014,1,0
"Sebastian Gomez","WOC-Q",2014,6,0
"Sebastian Gomez","Friendlies",2013,1,0
"Sebastian Gomez","EUC-Q",2012,9,0
"Sebastian Gomez","Friendlies",2012,2,0
"Sebastian Gomez","Friendlies",2011,1,0
"Sebastian Gomez","Friendlies",2010,3,0
"Sebastian Larsson","EUC-Q",2012,10,3
"Sergei Khizhnichenko","EUC-Q",2016,8,0
"Sergei Khizhnichenko","Friendlies",2016,2,0
"Sergei Khizhnichenko","Friendlies",2015,1,0
"Sergei Khizhnichenko","Friendlies",2014,2,2
"Sergei Khizhnichenko","WOC-Q",2014,4,0
"Sergei Khizhnichenko","Friendlies",2013,2,1
"Sergei Khizhnichenko","EUC-Q",2012,6,0
"Sergei Khizhnichenko","Friendlies",2012,2,0
"Sergei Khizhnichenko","Friendlies",2011,2,0
"Sergei Khizhnichenko","Friendlies",2010,2,0
"Sergei Khizhnichenko","WOC-Q",2010,4,3
"Sergio Moreno","EUC-Q",2016,3,0
"Sergio Moreno","Friendlies",2015,1,0
"Sergio Moreno","Friendlies",2014,1,0
"Sergio Moreno","WOC-Q",2014,5,0
"Sergio Moreno","Friendlies",2013,1,0
"Sergio Moreno","EUC-Q",2012,9,0
"Sergio Moreno","Friendlies",2012,4,0
"Sergio Moreno","Friendlies",2011,1,0
"Sergio Moreno","Friendlies",2010,3,0
"Sergio Moreno","WOC-Q",2010,7,0
"Sergio Moreno","EUC-Q",2008,7,0
"Sergio Moreno","WOC-Q",2006,5,0
"Sergio Moreno","Friendlies",2004,1,0
"Shane Long","EUC-Q",2016,9,3
"Shane Long","Friendlies",2016,2,1
"Shane Long","Friendlies",2015,1,0
"Shane Long","Friendlies",2014,7,1
"Shane Long","WOC-Q",2014,7,0
"Shane Long","Friendlies",2013,6,2
"Shane Long","EUC-G",2012,2,0
"Shane Long","EUC-Q",2012,5,1
"Shane Long","Friendlies",2012,4,2
"Shane Long","Friendlies",2011,3,1
"Shane Long","NAC",2011,1,0
"Shane Long","Friendlies",2010,3,1
"Shane Long","Friendlies",2009,2,0
"Shane Long","EUC-Q",2008,4,0
"Shane Long","Friendlies",2008,2,0
"Shane Long","Friendlies",2007,3,3
"Silvestre Varela","Friendlies",2015,1,0
"Silvestre Varela","Friendlies",2014,4,0
"Silvestre Varela","Friendlies",2013,2,0
"Silvestre Varela","EUC-G",2012,2,1
"Silvestre Varela","EUC-K",2012,1,0
"Silvestre Varela","EUC-Q",2012,2,0
"Silvestre Varela","Friendlies",2012,3,0
"Silvestre Varela","Friendlies",2011,2,1
"Silvestre Varela","Friendlies",2010,1,0
"Simon Cox","Friendlies",2014,3,0
"Simon Cox","WOC-Q",2014,5,0
"Simon Cox","Friendlies",2013,4,1
"Simon Cox","EUC-G",2012,3,0
"Simon Cox","EUC-Q",2012,6,0
"Simon Cox","Friendlies",2012,5,1
"Simon Cox","Friendlies",2011,1,1
"Simon Cox","NAC",2011,2,1
"Sotiris Ninis","EUC-G",2012,1,0
"Stanislav Sestak","EUC-Q",2016,3,1
"Stanislav Sestak","Friendlies",2016,1,0
"Stanislav Sestak","Friendlies",2015,2,0
"Stanislav Sestak","Friendlies",2014,5,0
"Stanislav Sestak","WOC-Q",2014,4,0
"Stanislav Sestak","Friendlies",2013,2,1
"Stanislav Sestak","EUC-Q",2012,4,0
"Stanislav Sestak","Friendlies",2012,2,0
"Stanislav Sestak","Friendlies",2011,1,0
"Stanislav Sestak","Friendlies",2010,4,1
"Stanislav Sestak","WOC-G",2010,1,0
"Stanislav Sestak","Friendlies",2009,5,1
"Stanislav Sestak","EUC-Q",2008,8,2
"Stanislav Sestak","Friendlies",2008,1,0
"Stanislav Sestak","Friendlies",2007,1,0
"Stanislav Sestak","WOC-Q",2006,2,0
"Stefan Maierhofer","EUC-Q",2012,7,0
"Stefan Maierhofer","Friendlies",2011,1,0
"Stefan Maierhofer","Friendlies",2010,1,0
"Stefan Maierhofer","WOC-Q",2010,8,1
"Stefan Maierhofer","Friendlies",2009,1,0
"Stefan Maierhofer","Friendlies",2008,1,0
"Stevica Ristic","WOC-Q",2014,2,0
"Stevica Ristic","EUC-Q",2012,5,0
"Stevica Ristic","Friendlies",2011,1,0
"Stevica Ristic","Friendlies",2010,1,0
"Stevica Ristic","WOC-Q",2010,3,0
"Stevica Ristic","EUC-Q",2008,3,0
"Stevica Ristic","Friendlies",2008,1,0
"Theo Walcott","EUC-Q",2016,4,3
"Theo Walcott","Friendlies",2016,1,0
"Theo Walcott","Friendlies",2015,2,0
"Theo Walcott","Friendlies",2014,0,0
"Theo Walcott","WOC-Q",2014,4,0
"Theo Walcott","Friendlies",2013,4,1
"Theo Walcott","Friendlies",2012,3,0
"Theo Walcott","Friendlies",2011,3,0
"Theo Walcott","Friendlies",2010,5,0
"Theo Walcott","WOC-Q",2010,6,3
"Theo Walcott","Friendlies",2008,1,0
"Theo Walcott","Friendlies",2006,1,0
"Theofanis Gekas","EUC-Q",2016,1,0
"Theofanis Gekas","Friendlies",2014,4,0
"Theofanis Gekas","WOC-G",2014,3,0
"Theofanis Gekas","WOC-K",2014,1,0
"Theofanis Gekas","WOC-Q",2014,7,2
"Theofanis Gekas","EUC-G",2012,3,1
"Theofanis Gekas","EUC-K",2012,1,0
"Theofanis Gekas","EUC-Q",2012,4,1
"Theofanis Gekas","Friendlies",2012,3,0
"Theofanis Gekas","Friendlies",2011,1,0
"Theofanis Gekas","Friendlies",2010,3,0
"Theofanis Gekas","WOC-G",2010,2,0
"Theofanis Gekas","WOC-Q",2010,12,10
"Theofanis Gekas","Friendlies",2009,2,1
"Theofanis Gekas","EUC-G",2008,2,0
"Theofanis Gekas","EUC-Q",2008,9,5
"Theofanis Gekas","Friendlies",2008,7,3
"Theofanis Gekas","Friendlies",2007,2,1
"Theofanis Gekas","Friendlies",2006,5,0
"Theofanis Gekas","WOC-Q",2006,3,0
"Theofanis Gekas","COC-G",2005,2,0
"Theofanis Gekas","Friendlies",2005,1,0
"Thomas Muller","EUC-Q",2016,9,9
"Thomas Muller","Friendlies",2016,2,0
"Thomas Muller","Friendlies",2015,1,0
"Thomas Muller","Friendlies",2014,4,1
"Thomas Muller","WOC-G",2014,3,3
"Thomas Muller","WOC-K",2014,4,2
"Thomas Muller","WOC-Q",2014,10,4
"Thomas Muller","Friendlies",2013,3,2
"Thomas Muller","EUC-G",2012,3,0
"Thomas Muller","EUC-Q",2012,10,3
"Thomas Muller","Friendlies",2012,4,0
"Thomas Muller","Friendlies",2011,7,2
"Thomas Muller","Friendlies",2010,2,0
"Thomas Muller","WOC-G",2010,3,1
"Thomas Muller","WOC-K",2010,3,4
"Tim Matavz","EUC-Q",2016,2,0
"Tim Matavz","Friendlies",2015,1,0
"Tim Matavz","Friendlies",2014,1,0
"Tim Matavz","WOC-Q",2014,9,2
"Tim Matavz","Friendlies",2013,3,1
"Tim Matavz","EUC-Q",2012,6,5
"Tim Matavz","Friendlies",2012,3,0
"Tim Matavz","Friendlies",2011,2,2
"Tim Matavz","Friendlies",2010,3,0
"Tim Matavz","WOC-G",2010,1,0
"Tobias Hysen","Friendlies",2014,3,0
"Tobias Hysen","WOC-Q",2014,3,2
"Tobias Hysen","Friendlies",2013,2,0
"Tobias Hysen","EUC-Q",2012,2,1
"Tobias Hysen","Friendlies",2012,5,1
"Tobias Hysen","Friendlies",2011,3,2
"Tobias Hysen","Friendlies",2010,2,0
"Tobias Hysen","WOC-Q",2010,3,0
"Tobias Hysen","Friendlies",2009,2,0
"Tobias Hysen","Friendlies",2006,2,0
"Tobias Hysen","Friendlies",2005,3,0
"Tobias Mikkelsen","WOC-Q",2014,1,0
"Tobias Mikkelsen","EUC-G",2012,3,0
"Tobias Mikkelsen","Friendlies",2012,3,1
"Tobias Mikkelsen","Friendlies",2011,1,0
"Tom De Sutter","WOC-Q",2010,8,0
"Tom De Sutter","Friendlies",2009,4,0
"Tom De Sutter","Friendlies",2008,1,0
"Tomas Necid","EUC-Q",2016,5,1
"Tomas Necid","Friendlies",2016,2,0
"Tomas Necid","Friendlies",2015,3,1
"Tomas Necid","EUC-Q",2012,5,1
"Tomas Necid","Friendlies",2012,1,0
"Tomas Necid","Friendlies",2011,1,0
"Tomas Necid","KIC",2011,2,0
"Tomas Necid","Friendlies",2010,5,2
"Tomas Necid","WOC-Q",2010,7,3
"Tomas Necid","Friendlies",2009,5,1
"Tomas Oravec","EUC-Q",2012,1,0
"Tomas Oravec","EUC-Q",2008,1,0
"Tomas Oravec","EUC-Q",2004,2,0
