HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"Croatia","Portugal","2016/06/25","EUC-K",0,1,0,0.497,-0.2943,0.4022,-0.2165,0.4029,-0.2806,0.4166,-0.3159
"Switzerland","Poland","2016/06/25","EUC-K",1,1,0,0.2381,-0.3483,0.338,-0.3283,0.271,-0.3233,0.3629,-0.2956
"Wales","Northern Ireland","2016/06/25","EUC-K",1,0,0,0.2938,-0.1869,0.0873,-0.0934,0.2993,-0.2629,0.0116,-0.088
"Hungary","Portugal","2016/06/22","EUC-G",3,3,0,0.3325,-0.1699,0.2713,-0.3695,0.4578,-0.063,0.4022,-0.2165
"Iceland","Austria","2016/06/22","EUC-G",2,1,0,0.35,-0.1269,0.1134,-0.2809,0.4404,-0.0972,0.143,-0.1906
"Italy","Republic of Ireland","2016/06/22","EUC-G",0,1,0,0.5094,-0.5218,0.0781,-0.0616,0.389,-0.4398,0.1491,-0.1643
"Sweden","Belgium","2016/06/22","EUC-G",0,1,0,0.3731,-0.056,0.3157,-0.2278,0.2841,-0.0558,0.316,-0.3318
"Croatia","Spain","2016/06/21","EUC-G",2,1,0,0.3149,-0.2884,0.6101,-0.8538,0.497,-0.2943,0.6042,-0.6709
"Czech Republic","Turkey","2016/06/21","EUC-G",0,2,0,0.3895,0.1624,-0.0441,-0.0519,0.2751,0.2453,0.0393,-0.167
"Northern Ireland","Germany","2016/06/21","EUC-G",0,1,0,0.1706,-0.0722,0.5532,-0.3745,0.0873,-0.0934,0.532,-0.4575
"Ukraine","Poland","2016/06/21","EUC-G",0,1,0,-0.1081,-0.223,0.3207,-0.2559,-0.1697,-0.2082,0.338,-0.3283
"Russia","Wales","2016/06/20","EUC-G",0,3,0,0.3409,-0.199,0.1478,-0.0754,0.2299,-0.0535,0.2938,-0.1869
