"Player","Year","Contest","Apps","Goals Conceded","Goals Scored","Home Advantage"
"Andrea Pirlo",2014,"WOC-G-W2",1,1,0,
"Andrea Pirlo",2014,"WOC-G-W1",1,1,0,
"Andrea Pirlo",2013,"WOC-Q",5,4,0,1
"Andrea Pirlo",2013,"WOC-Q",4,3,1,-1
"Andrea Pirlo",2012,"EUC-K-W3",1,4,0,
"Andrea Pirlo",2012,"EUC-K-W2",1,1,0,
"Andrea Pirlo",2012,"EUC-K-W1",1,0,0,
"Andrea Pirlo",2012,"EUC-G-W3",1,0,0,
"Andrea Pirlo",2012,"EUC-G-W2",1,1,0,
"Andrea Pirlo",2012,"EUC-G-W1",1,1,0,
"Andrea Pirlo",2011,"EUC-Q",5,0,1,1
"Andrea Pirlo",2011,"EUC-Q",4,2,0,-1
"Andrea Pirlo",2010,"WOC-G-W3",1,1,0,
"Andrea Pirlo",2009,"WOC-Q",3,0,0,1
"Andrea Pirlo",2009,"WOC-Q",4,3,1,-1
"Andrea Pirlo",2008,"EUC-G-W3",1,0,1,
"Andrea Pirlo",2008,"EUC-G-W2",1,1,0,
"Andrea Pirlo",2008,"EUC-G-W1",1,3,0,
"Andrea Pirlo",2007,"EUC-Q",5,1,1,1
"Andrea Pirlo",2007,"EUC-Q",6,7,0,-1
"Andrea Pirlo",2006,"WOC-K-W4",1,1,0,
"Andrea Pirlo",2006,"WOC-K-W3",1,0,0,
"Andrea Pirlo",2006,"WOC-K-W2",1,0,0,
"Andrea Pirlo",2006,"WOC-K-W1",1,0,0,
"Andrea Pirlo",2006,"WOC-G-W3",1,0,0,
"Andrea Pirlo",2006,"WOC-G-W2",1,1,0,
"Andrea Pirlo",2006,"WOC-G-W1",1,0,1,
"Andrea Pirlo",2005,"WOC-Q",2,0,2,1
"Andrea Pirlo",2005,"WOC-Q",4,2,0,-1
"Andrea Pirlo",2004,"WOC-G-W3",1,1,0,
"Andrea Pirlo",2004,"WOC-G-W2",1,1,0,
"Andres Iniesta",2015,"EUC-Q",2,0,1,1
"Andres Iniesta",2015,"EUC-Q",3,0,0,-1
"Andres Iniesta",2014,"WOC-G-W3",1,0,0,
"Andres Iniesta",2014,"WOC-G-W2",1,2,0,
"Andres Iniesta",2014,"WOC-G-W1",1,5,0,
"Andres Iniesta",2013,"WOC-Q",3,1,0,1
"Andres Iniesta",2013,"WOC-Q",4,0,0,-1
"Andres Iniesta",2012,"EUC-K-W2",1,0,0,
"Andres Iniesta",2012,"EUC-K-W1",1,0,0,
"Andres Iniesta",2011,"EUC-Q",3,2,0,1
"Andres Iniesta",2011,"EUC-Q",1,2,1,-1
"Andres Iniesta",2010,"WOC-K-W4",1,0,1,
"Andres Iniesta",2010,"WOC-K-W3",1,0,0,
"Andres Iniesta",2010,"WOC-K-W2",1,0,0,
"Andres Iniesta",2010,"WOC-K-W1",1,0,0,
"Andres Iniesta",2010,"WOC-G-W3",1,1,0,
"Andres Iniesta",2010,"WOC-G-W1",1,1,0,
"Andres Iniesta",2009,"WOC-Q",2,0,0,1
"Andres Iniesta",2009,"WOC-Q",4,1,1,-1
"Andres Iniesta",2008,"EUC-K-W3",1,0,0,
"Andres Iniesta",2008,"EUC-K-W2",1,0,0,
"Andres Iniesta",2008,"EUC-K-W1",1,0,0,
"Andres Iniesta",2008,"EUC-G-W3",1,1,0,
"Andres Iniesta",2008,"EUC-G-W2",1,1,0,
"Andres Iniesta",2008,"EUC-G-W1",1,0,0,
"Andres Iniesta",2007,"EUC-Q",5,2,2,1
"Andres Iniesta",2007,"EUC-Q",4,3,0,-1
"Andres Iniesta",2006,"WOC-G-W3",1,0,0,
"Andrey Arshavin",2012,"EUC-G-W1",1,1,0,
"Andrey Arshavin",2011,"EUC-Q",5,2,0,1
"Andrey Arshavin",2011,"EUC-Q",5,2,0,-1
"Andrey Arshavin",2009,"WOC-Q",5,3,1,1
"Andrey Arshavin",2009,"WOC-Q",6,5,2,-1
"Andrey Arshavin",2008,"EUC-K-W2",1,3,0,
"Andrey Arshavin",2008,"EUC-K-W1",1,1,1,
"Andrey Arshavin",2008,"EUC-G-W3",1,1,0,
"Andrey Arshavin",2007,"EUC-Q",6,2,2,1
"Andrey Arshavin",2007,"EUC-Q",6,5,1,-1
"Andrey Arshavin",2005,"WOC-Q",4,1,1,1
"Andrey Arshavin",2005,"WOC-Q",6,10,5,-1
"Andriy Yarmolenko",2015,"EUC-Q",5,2,2,1
"Andriy Yarmolenko",2015,"EUC-Q",4,2,4,-1
"Andriy Yarmolenko",2013,"WOC-Q",5,1,3,1
"Andriy Yarmolenko",2013,"WOC-Q",6,4,3,-1
"Andriy Yarmolenko",2012,"EUC-G-W3",1,1,0,
"Andriy Yarmolenko",2012,"EUC-G-W2",1,2,0,
"Andriy Yarmolenko",2012,"EUC-G-W1",1,1,0,
"Andriy Yarmolenko",2009,"WOC-Q",1,0,0,1
"Andriy Yarmolenko",2009,"WOC-Q",1,0,0,-1
"Arjen Robben",2015,"EUC-Q",2,,,1
"Arjen Robben",2013,"WOC-Q",2,,,1
"Arjen Robben",2009,"WOC-Q",3,,,1
"Arjen Robben",2009,"WOC-Q",3,,,-1
"Arjen Robben",2006,"EUC-Q",3,,,1
"Arjen Robben",2006,"EUC-Q",3,,,-1
"Arjen Robben",2005,"WOC-Q",2,,,1
"Arjen Robben",2005,"WOC-Q",3,,,-1
"Arjen Robben",2005,"WOC-Q",1,,,
"Artem Milevskiy",2007,"EUC-Q",3,,,1
"Artur Sobiech",2013,"WOC-Q",1,,,1
"Artur Sobiech",2013,"WOC-Q",1,,,-1
"Ashley Young",2013,"WOC-Q",3,,,-1
"Ashley Young",2011,"EUC-Q",3,,,1
"Ashley Young",2011,"EUC-Q",3,,,-1
"Ashley Young",2009,"WOC-Q",1,,,1
"Bastian Schweinsteiger",2015,"EUC-Q",1,,,1
"Bastian Schweinsteiger",2015,"EUC-Q",3,,,-1
"Bastian Schweinsteiger",2013,"WOC-Q",2,,,1
"Bastian Schweinsteiger",2013,"WOC-Q",3,,,-1
"Bastian Schweinsteiger",2011,"EUC-Q",3,,,1
"Bastian Schweinsteiger",2011,"EUC-Q",2,,,-1
"Bastian Schweinsteiger",2009,"WOC-Q",4,,,1
"Bastian Schweinsteiger",2009,"WOC-Q",5,,,-1
"Bastian Schweinsteiger",2007,"EUC-Q",2,,,1
"Bastian Schweinsteiger",2007,"EUC-Q",6,,,-1
"Christian Poulsen",2011,"EUC-Q",3,,,1
"Christian Poulsen",2011,"EUC-Q",3,,,-1
"Christian Poulsen",2009,"WOC-Q",5,,,1
"Christian Poulsen",2009,"WOC-Q",5,,,-1
"Christian Poulsen",2007,"EUC-Q",5,,,1
"Christian Poulsen",2007,"EUC-Q",5,,,-1
"Christian Poulsen",2005,"WOC-Q",5,,,1
