HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"Wales","Slovakia","2016/06/11","EUC-G",2,1,0,-0.1126,-0.1565,0.0964,-0.0116,0.039,-0.111,0.1421,0.1394
"France","Romania","2016/06/10","EUC-G",2,1,1,0.3558,-0.2576,-0.0014,-0.3963,0.7633,-0.1814,0.2406,-0.2605
"Denmark","Sweden","2015/11/17","EUC-Q",2,2,1,0.1363,-0.2966,0.4056,-0.0657,0.1719,-0.2531,0.4572,-0.0357
"Slovenia","Ukraine","2015/11/17","EUC-Q",1,1,1,0.1565,0.0109,0.0841,-0.5016,0.179,0.0199,0.0931,-0.4789
"Republic of Ireland","Bosnia-Herzegovina","2015/11/16","EUC-Q",2,0,1,0.1793,-0.2424,0.2936,0.052,0.1992,-0.2912,0.2451,0.072
"Hungary","Norway","2015/11/15","EUC-Q",2,1,1,0.1134,-0.0173,0.0284,-0.1586,0.1515,-0.0035,0.0422,-0.1204
"Sweden","Denmark","2015/11/14","EUC-Q",2,1,1,0.3695,-0.0816,0.1232,-0.3402,0.4056,-0.0657,0.1363,-0.2966
"Ukraine","Slovenia","2015/11/14","EUC-Q",2,0,1,0.0467,-0.4575,0.2007,-0.0264,0.0841,-0.5016,0.1565,0.0109
"Bosnia-Herzegovina","Republic of Ireland","2015/11/13","EUC-Q",1,1,1,0.2935,0.0499,0.1772,-0.2425,0.2936,0.052,0.1793,-0.2424
"Norway","Hungary","2015/11/12","EUC-Q",0,1,1,0.0856,-0.1803,0.0916,0.0397,0.0284,-0.1586,0.1134,-0.0173
"Belgium","Israel","2015/10/13","EUC-Q",3,1,1,0.2701,-0.211,0.0703,0.2364,0.2916,-0.1851,0.0962,0.2579
